,RegionID,RegionName,StateName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
543,270812,Castle Hill,New York,544,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,1.0,1.0,,,,,,
553,403203,West Brighton,New York,554,3.0,2.0,8.0,6.0,2.0,3.0,5.0,1.0,5.0,6.0,9.0,6.0,2.0,3.0,4.0,3.0,3.0,0.0,2.0,8.0,5.0,4.0,6.0,4.0,7.0,7.0,5.0,3.0,4.0,2.0,6.0,3.0,9.0,7.0,10.0,9.0,5.0,2.0,1.0,2.0,6.0,4.0,7.0,7.0,5.0,3.0,7.0,7,6,5.0,5.0,7.0,3.0,5.0,4.0,7.0,5.0,13.0,8.0,4.0
555,275518,Springfield Gardens,New York,556,2.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,6.0,3.0,4.0,2.0,4.0,5.0,0.0,3.0,1.0,3.0,0.0,3.0,5.0,2.0,2.0,3.0,3.0,5.0,4.0,2.0,5.0,2,2,3.0,1.0,2.0,1.0,,,,,,,
568,270969,Wingate,New York,569,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,2.0,,,,,
569,270951,Tribeca,New York,570,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
574,343209,Unionport,New York,575,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,1.0,1.0,0.0,0.0,,,,,,,
594,270846,Gowanus,New York,595,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
606,196623,New Utrecht,New York,607,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,,,,,,,
635,270953,Turtle Bay,New York,636,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,2.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2,1,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,,
653,270879,Manhattanville,New York,654,0.0,2.0,0.0,1.0,1.0,19.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
663,48417,West Farms,New York,664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,0,0.0,0.0,0.0,0.0,,,,,,,
716,343223,Baychester,New York,717,3.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,6.0,2.0,0.0,3.0,2.0,5.0,1.0,1.0,4.0,5.0,0,2,2.0,5.0,2.0,2.0,1.0,,,,,,
731,197303,Port Richmond,New York,732,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,5.0,6.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,6.0,5.0,8.0,3.0,5.0,5.0,8.0,6.0,7.0,4.0,4.0,6.0,5.0,8.0,8.0,4.0,6.0,3.0,4.0,2.0,7.0,3.0,8.0,13.0,11.0,6.0,5.0,5.0,4.0,7,6,2.0,2.0,6.0,3.0,7.0,8.0,8.0,9.0,15.0,7.0,
768,270952,Tudor City,New York,769,4.0,4.0,6.0,5.0,2.0,3.0,3.0,7.0,5.0,1.0,5.0,6.0,4.0,3.0,8.0,2.0,3.0,4.0,3.0,8.0,7.0,5.0,2.0,8.0,5.0,3.0,7.0,4.0,4.0,2.0,3.0,5.0,2.0,8.0,2.0,4.0,1.0,5.0,2.0,1.0,6.0,2.0,4.0,4.0,4.0,1.0,2.0,4,4,4.0,3.0,2.0,3.0,,,,,,,
770,272869,Battery Park,New York,771,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
811,50348,Cambria Heights,New York,812,0.0,4.0,1.0,3.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,4.0,1.0,3.0,1,2,0.0,1.0,4.0,1.0,3.0,,,,,,
844,270810,Carnegie Hill,New York,845,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,
862,198587,Van Nest,New York,863,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
887,403228,Hillcrest,New York,888,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
897,272785,Arden Heights,New York,898,2.0,3.0,4.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,6.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,7.0,3.0,8.0,2.0,0.0,2.0,6.0,2.0,3.0,3.0,5.0,3.0,4.0,0.0,6.0,5.0,5.0,5.0,3.0,2.0,3.0,0.0,4.0,1.0,5.0,3.0,3,6,2.0,3.0,4.0,0.0,2.0,,,,,,
909,403111,Westchester Heights,New York,910,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3,0,0.0,0.0,2.0,2.0,1.0,0.0,,,,,
926,270857,Hunters Point,New York,927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,
