,RegionID,RegionName,StateName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
1227,197599,Rosebank,New York,1228,0.0,2.0,4.0,4.0,6.0,4.0,2.0,1.0,5.0,1.0,0.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,3.0,5.0,2.0,2.0,5.0,6.0,4.0,2.0,1.0,3.0,5.0,8.0,8.0,7.0,6.0,6.0,6.0,5.0,0.0,2.0,1.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,8.0,6,4,4.0,5.0,2.0,3.0,7.0,5.0,2.0,5.0,2.0,7.0,8.0
1259,197427,Red Hook,New York,1260,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1264,195067,Graniteville,New York,1265,9.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,6.0,6.0,2.0,1.0,6.0,4.0,7.0,2.0,3.0,5.0,6.0,5.0,6.0,7.0,8.0,5.0,2.0,8.0,8.0,4.0,5.0,5.0,3.0,6.0,6.0,9.0,9.0,11.0,5.0,5.0,4.0,4.0,7.0,4.0,7.0,9.0,10.0,4.0,6,7,4.0,6.0,8.0,4.0,2.0,3.0,4.0,8.0,8.0,12.0,
1273,275754,Tottenville,New York,1274,2.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,0.0,3.0,2.0,3.0,3.0,4.0,3,2,2.0,0.0,2.0,2.0,,,,,,,
1279,198184,Stapleton,New York,1280,5.0,5.0,5.0,6.0,3.0,6.0,0.0,3.0,3.0,3.0,7.0,4.0,4.0,1.0,2.0,3.0,3.0,7.0,4.0,3.0,0.0,1.0,1.0,1.0,6.0,5.0,2.0,4.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,6.0,4.0,2.0,5.0,4.0,5.0,0.0,3.0,3.0,2.0,4.0,7.0,1,3,2.0,6.0,5.0,7.0,,,,,,,
1298,195511,Huguenot,New York,1299,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,1,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0
1310,197623,Rossville,New York,1311,3.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,4.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,9.0,5.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,6.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,9.0,2,4,3.0,2.0,3.0,0.0,4.0,2.0,4.0,3.0,1.0,4.0,
1321,193821,Chinatown,New York,1322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,13356,Pomonok,New York,1333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,
1335,199023,Willowbrook,New York,1336,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,0,2,0.0,5.0,0.0,4.0,1.0,3.0,,,,,
1345,270928,SoHo,New York,1346,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1373,193861,Clason Point,New York,1374,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,0.0,4.0,3,3,3.0,1.0,2.0,0.0,3.0,1.0,0.0,,,,
1412,274627,Murray Hill,New York,1413,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,2.0,1.0,1.0,,,,,,
1425,343224,Eastchester,New York,1426,0.0,0.0,0.0,1.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,2.0,1.0,0.0,2.0,,,,,,,
1488,270912,Prince's Bay,New York,1489,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0,1.0,0.0,1.0,0.0,,,,,,,
1507,197042,Park Hill,New York,1508,1.0,0.0,4.0,1.0,2.0,5.0,3.0,2.0,1.0,2.0,4.0,5.0,1.0,6.0,6.0,2.0,3.0,3.0,3.0,0.0,1.0,6.0,4.0,4.0,5.0,2.0,2.0,4.0,0.0,1.0,4.0,2.0,5.0,5.0,5.0,3.0,6.0,4.0,7.0,5.0,4.0,2.0,4.0,3.0,4.0,2.0,7.0,5,2,4.0,6.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,
1519,403218,Georgetown,New York,1520,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1,1,0.0,2.0,2.0,3.0,1.0,,,,,,
1530,195119,Greenridge,New York,1531,1.0,5.0,4.0,4.0,4.0,6.0,4.0,3.0,5.0,4.0,2.0,2.0,5.0,4.0,8.0,8.0,8.0,4.0,4.0,6.0,6.0,8.0,6.0,5.0,5.0,6.0,5.0,8.0,5.0,10.0,7.0,4.0,5.0,1.0,8.0,7.0,3.0,3.0,1.0,5.0,2.0,2.0,4.0,4.0,8.0,6.0,4.0,5,3,6.0,8.0,8.0,3.0,7.0,7.0,6.0,5.0,2.0,1.0,
1533,275164,Richmond Town,New York,1534,3.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,6.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,0.0,2.0,4.0,4.0,3.0,1.0,0,4,2.0,2.0,1.0,1.0,,,,,,,
1584,196350,Midland Beach,New York,1585,5.0,1.0,5.0,5.0,0.0,3.0,1.0,3.0,2.0,1.0,4.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,4.0,12.0,4.0,5.0,6.0,7.0,7.0,3.0,0.0,8.0,5.0,1.0,11.0,4.0,6.0,10.0,4.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,8.0,3.0,8,3,5.0,5.0,1.0,5.0,5.0,4.0,2.0,2.0,3.0,3.0,
1596,270873,Little Italy,New York,1597,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1622,56273,Rockaway Beach,New York,1623,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,0,1,3.0,2.0,3.0,0.0,2.0,1.0,2.0,3.0,,,
1720,197995,South Beach,New York,1721,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,3.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,4.0,3.0,0,3,5.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,,
1828,193043,Arrochar,New York,1829,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,0.0,0,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,
1908,195069,Grant City,New York,1909,2.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,5.0,7.0,1.0,4.0,3.0,2.0,1.0,3.0,4.0,5.0,2.0,3.0,4.0,2.0,2.0,4.0,5.0,7.0,8.0,3.0,3.0,3.0,3.0,2.0,7.0,3.0,4.0,5.0,9.0,7.0,3.0,5.0,4.0,6.0,6.0,5.0,11.0,4.0,7.0,4,7,6.0,5.0,5.0,5.0,7.0,1.0,3.0,6.0,3.0,1.0,8.0
1914,403204,Castleton Corners,New York,1915,2.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1,1,0.0,1.0,1.0,0.0,1.0,2.0,,,,,
1982,343226,Country Club,New York,1983,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,3.0,2.0,0.0,0.0,,,,,,,
2067,272771,Annadale,New York,2068,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0.0,0.0,0.0,1.0,,,,,,,
2097,403199,Grasmere - Concord,New York,2098,3.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,2,0.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,,,
2123,270904,Old Town,New York,2124,2.0,0.0,2.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1,5,2.0,1.0,3.0,1.0,1.0,,,,,,
2200,16920,Bay Terrace,New York,2201,1.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,7.0,4.0,7.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,3,0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0
2226,403125,Meiers Corners,New York,2227,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,1.0,1,1,1.0,0.0,2.0,2.0,1.0,0.0,,,,,
2286,343206,Woodlawn,New York,2287,0.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,6.0,3.0,2.0,1.0,1.0,6.0,0.0,6.0,3.0,1.0,3.0,0.0,6.0,3,3,2.0,3.0,4.0,3.0,,,,,,,
2414,196620,New Springville,New York,2415,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,
2447,196583,New Brighton,New York,2448,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2,1,2.0,2.0,3.0,3.0,,,,,,,
2626,196156,Manhattan Beach,New York,2627,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1,0.0,0.0,0.0,1.0,2.0,,,,,,
2688,198432,Tompkinsville,New York,2689,1.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,4.0,2,2,1.0,4.0,1.0,0.0,,,,,,,
2729,199080,Woodrow,New York,2730,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2749,196591,New Dorp,New York,2750,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,0,1,0.0,1.0,1.0,2.0,,,,,,,
2768,276006,Westerleigh,New York,2769,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,1.0,0.0,0.0,1.0,1.0,,,,,,
2934,270895,NoHo,New York,2935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2941,270844,Gerritsen Beach,New York,2942,2.0,6.0,4.0,4.0,1.0,2.0,8.0,2.0,4.0,10.0,7.0,5.0,4.0,3.0,5.0,8.0,4.0,3.0,5.0,2.0,3.0,2.0,7.0,3.0,6.0,1.0,7.0,1.0,4.0,6.0,3.0,4.0,7.0,1.0,3.0,2.0,0.0,4.0,2.0,3.0,3.0,3.0,2.0,7.0,6.0,2.0,7.0,8,4,5.0,4.0,3.0,1.0,1.0,5.0,3.0,5.0,7.0,3.0,1.0
3016,270796,Astoria Heights,New York,3017,1.0,5.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3129,10329,Belle Harbor,New York,3130,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3169,270950,Todt Hill,New York,3170,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,2.0,0.0,0.0,3.0,,,,,
3318,270842,Garment District,New York,3319,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3376,270917,Randall Manor,New York,3377,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,2,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,
3420,270834,Fieldston,New York,3421,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,2.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,3.0,4,4,2.0,2.0,3.0,2.0,,,,,,,
3462,403219,Columbia Street Waterfront District,New York,3463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3920,343207,City Island,New York,3921,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0,1,1.0,0.0,2.0,1.0,1.0,,,,,,
4001,194257,Dongan Hills,New York,4002,0.0,3.0,2.0,1.0,2.0,0.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,6.0,5.0,2.0,2.0,1.0,3.0,2.0,2.0,2,1,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,
4040,197294,Port Ivory,New York,4041,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,4.0,7.0,5.0,3.0,1.0,1.0,2,3,3.0,1.0,3.0,2.0,1.0,3.0,5.0,4.0,4.0,2.0,5.0
4052,193292,Bergen Beach,New York,4053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
4208,270838,Forest Hills Gardens,New York,4209,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0,2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,,,
4575,403198,Richmond Valley,New York,4576,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
4743,197231,Pleasant Plains,New York,4744,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,,
