,RegionID,RegionName,StateName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
136,275115,Queens Village,New York,137,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,4.0,3.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,6.0,7.0,2.0,5.0,6.0,3.0,5.0,1.0,3.0,6.0,1.0,2.0,6,3,7.0,3.0,4.0,3.0,8.0,6.0,6.0,6.0,5.0,7.0,4.0
140,343204,Mott Haven,New York,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,5837,Maspeth,New York,144,8.0,8.0,9.0,6.0,4.0,1.0,4.0,6.0,6.0,4.0,7.0,6.0,7.0,7.0,7.0,7.0,9.0,4.0,4.0,6.0,11.0,13.0,8.0,5.0,10.0,8.0,9.0,4.0,8.0,7.0,3.0,3.0,11.0,10.0,12.0,7.0,7.0,6.0,5.0,8.0,4.0,10.0,9.0,7.0,10.0,1.0,11.0,4,8,5.0,9.0,12.0,8.0,4.0,4.0,5.0,8.0,8.0,9.0,9.0
156,270850,Hamilton Heights,New York,157,1.0,2.0,1.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,6.0,4.0,4.0,1.0,6.0,6.0,2.0,1.0,9.0,3.0,16.0,4.0,3.0,0.0,2.0,1.0,5.0,4.0,4.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,9.0,2.0,3.0,4,3,4.0,3.0,4.0,1.0,,,,,,,
169,276254,Chelsea,New York,170,46.0,37.0,60.0,66.0,33.0,40.0,43.0,56.0,52.0,52.0,49.0,50.0,41.0,57.0,42.0,46.0,41.0,38.0,30.0,43.0,49.0,45.0,48.0,57.0,48.0,32.0,49.0,30.0,52.0,72.0,38.0,48.0,72.0,47.0,52.0,54.0,36.0,43.0,31.0,34.0,42.0,33.0,27.0,45.0,48.0,47.0,52.0,34,33,28.0,27.0,47.0,21.0,29.0,20.0,24.0,37.0,32.0,42.0,37.0
170,343214,Fordham,New York,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,193974,Coney Island,New York,183,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,7.0,2.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,2.0,4,1,1.0,3.0,6.0,3.0,2.0,,,,,,
203,343216,Morris Heights,New York,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,403210,Melrose,New York,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,343211,Parkchester,New York,207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,195576,Inwood,New York,209,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,5.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,2.0,1.0,2.0,4.0,4.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,6.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1,0,1.0,11.0,1.0,4.0,0.0,,,,,,
210,403211,Longwood,New York,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,49994,Woodhaven,New York,214,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,3.0,3.0,4,9,3.0,6.0,7.0,4.0,8.0,4.0,7.0,3.0,4.0,,
