,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
1025,198184,Stapleton,New York,NY,New York-Newark-Jersey City,Richmond,1026,60.35,63.57,66.67,63.23,61.35,59.58,52.83,48.95,46.39,43.73,48.17,52.16,51.1,45.93,44.05,44.33,44.77,49.17,57.43,65.64,68.94,73.79,73.57,70.48,63.81,64.03,83.08,75.6,70.0,67.47,66.81,85.84,89.57,91.22,93.3,95.06,95.72,94.4,94.95,96.38,96.38,95.72,95.5,96.6,96.27,95.83,96.05,96.82,97.48,97.04,96.27,95.5,93.74,90.12,87.6,78.7,67.18,54.99,61.8,29.31
1041,195511,Huguenot,New York,NY,New York-Newark-Jersey City,Richmond,1042,39.66,47.1,56.0,65.13,72.11,74.87,75.03,75.25,73.79,76.44,75.7,74.92,73.19,74.09,73.64,68.26,66.46,67.81,71.4,70.78,66.01,57.77,52.75,49.89,46.18,45.09,55.67,55.45,55.39,61.82,63.5,80.66,85.8,84.24,90.22,90.61,88.53,89.48,91.83,94.57,97.71,98.04,96.59,95.97,96.81,97.54,97.37,96.08,96.98,96.53,95.86,95.18,91.38,83.66,78.51,78.13,69.09,59.98,56.4,36.89
1051,197623,Rossville,New York,NY,New York-Newark-Jersey City,Richmond,1052,67.52,71.39,73.94,77.0,79.63,78.74,79.62,77.57,73.4,72.85,71.79,70.68,68.25,67.27,68.14,64.52,62.55,66.22,71.5,71.63,68.98,66.92,67.38,72.26,71.67,68.66,76.42,70.25,67.94,70.67,70.58,84.65,88.0,87.33,92.74,94.88,94.38,93.2,91.73,91.39,93.03,94.29,91.47,91.39,91.89,92.82,93.45,94.37,94.16,93.87,94.29,95.63,93.32,90.29,88.45,87.1,82.61,80.25,83.7,74.33
1066,13356,Pomonok,New York,NY,New York-Newark-Jersey City,Queens,1067,62.1,68.68,76.48,82.53,86.02,87.37,85.56,79.62,70.99,70.45,75.98,71.66,74.12,70.62,66.26,62.13,58.22,55.26,56.22,66.84,83.51,82.9,80.96,87.82,79.38,74.84,89.53,90.45,92.8,94.63,95.16,99.34,99.34,98.69,98.69,98.95,99.21,99.08,97.89,98.28,96.82,98.67,94.68,95.21,88.96,82.05,85.49,93.87,97.34,96.94,97.61,98.27,96.14,90.68,87.75,88.68,90.15,93.09,82.58,60.64
1068,199023,Willowbrook,New York,NY,New York-Newark-Jersey City,Richmond,1069,60.31,64.41,66.93,70.91,72.65,72.42,70.61,68.76,66.57,62.59,63.04,62.93,61.81,63.88,64.22,62.29,61.28,68.07,74.43,75.6,73.53,68.76,71.28,73.92,77.9,76.84,82.59,80.65,79.49,81.6,82.37,83.2,88.36,86.59,91.96,94.07,94.9,94.23,96.23,97.67,98.89,98.89,98.17,98.06,98.72,99.0,98.89,98.95,99.45,99.39,99.22,98.78,97.34,95.84,96.17,95.06,89.73,84.96,83.91,58.27
1074,270928,SoHo,New York,NY,New York-Newark-Jersey City,New York,1075,84.46,89.27,86.82,85.75,83.11,80.97,78.13,78.48,76.83,77.29,76.45,76.87,77.54,76.69,76.53,77.09,77.49,76.67,77.27,69.1,64.55,62.34,63.13,61.03,54.69,53.19,49.88,51.42,50.4,54.85,48.86,67.66,69.72,75.74,78.44,79.07,64.6,64.43,62.58,61.88,54.25,52.54,47.51,54.68,53.38,46.9,41.37,37.93,44.35,39.05,35.33,33.54,29.8,26.22,24.86,28.88,23.77,23.17,20.48,19.89
1120,274627,Murray Hill,New York,NY,New York-Newark-Jersey City,New York,1121,89.81,90.51,87.97,86.96,86.16,85.71,81.59,79.43,76.73,74.12,72.52,72.18,72.64,72.47,72.94,72.41,70.82,71.21,73.86,79.28,80.17,83.68,85.47,86.51,85.21,82.05,81.81,82.23,81.7,86.28,79.14,72.4,65.77,65.09,62.82,67.93,65.18,66.3,66.8,65.34,61.07,65.25,61.04,68.43,68.06,62.84,61.99,59.44,67.47,65.11,64.47,65.29,58.83,54.2,48.23,41.79,34.27,29.1,27.36,26.49
1167,270912,Prince's Bay,New York,NY,New York-Newark-Jersey City,Richmond,1168,43.59,53.55,57.08,61.73,64.98,67.31,64.58,62.72,62.26,61.59,60.07,58.21,58.58,58.39,56.46,53.6,51.9,52.1,61.66,65.92,61.64,56.16,55.37,55.96,55.9,56.52,61.02,58.02,54.82,58.74,58.74,72.28,74.56,72.34,80.3,84.87,83.5,84.47,89.89,94.0,95.89,95.76,94.13,94.38,96.47,97.91,98.04,97.71,95.76,95.3,94.65,94.06,88.25,74.67,70.37,65.54,58.16,53.95,54.05,36.62
1177,197042,Park Hill,New York,NY,New York-Newark-Jersey City,Richmond,1178,67.94,67.07,68.59,61.89,57.56,56.92,51.73,48.78,46.25,44.67,45.82,48.99,46.1,44.95,44.81,45.1,44.6,52.97,64.21,70.49,73.14,74.07,75.64,72.13,68.48,67.69,81.93,81.29,79.64,80.29,77.07,80.71,84.29,86.29,92.14,94.93,97.93,98.78,98.78,99.28,99.07,99.43,99.14,99.0,98.78,99.14,99.5,99.14,99.28,99.21,98.43,97.28,95.64,94.06,94.13,92.06,88.2,82.47,88.48,64.52
1184,403218,Georgetown,New York,NY,New York-Newark-Jersey City,Kings,1185,49.15,52.02,56.1,59.76,61.92,65.04,57.22,53.86,49.2,51.08,44.55,37.73,32.1,28.65,26.85,28.7,32.96,37.83,41.2,46.45,43.85,41.09,46.08,58.15,64.87,70.18,81.85,82.27,71.65,71.8,70.12,74.18,69.86,81.93,86.14,85.88,83.5,78.65,78.65,76.12,75.49,83.76,82.7,80.01,83.49,77.73,78.04,76.23,76.23,68.57,63.23,62.55,57.47,66.72,60.86,60.61,66.05,61.03,65.21,63.67
