"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Garden Hills","Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton",741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643000,639000,625000,562000,589500,564000,549000,549000,625000,619250,623500,599000,599000,599000,659000,625000,630000,650000,694950,680000,690000,670000,650000,625000,650000,712450,699900,750000,694950,679400,679400,594500,649500,684500,687000,662500,729250,649950,759500,799500,784000,775000,748500,688900,714000,749000,797000,839000,798000,766450,798000,795000,817450,825000,819900,815000,795000,812500,779500,779500,815000,830000,830000,805000,795000,750000,725000,740000,748000
"Shore Acres","Saint Petersburg","FL","Tampa-St. Petersburg-Clearwater","Pinellas",742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407900,409900,427450,447450,499000,494450,469000,498950,510000,489000,506500,469950,386950,374900,370400,420000,383450,375000,375000,376450,395000,412000
"Desert Uplands","Mesa","AZ","Phoenix-Mesa-Scottsdale","Maricopa",743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525000,536500,525000,530000,541166.5,520000,520000,499500,522450,516249.5,549500,550000,6e+05,550000,527450,528900,579950,579950,570000,499900,507400,597000,599500,597000,625000,585000,546900,599000,615000,599900,629000,639000,619500,632000,599500,597000,591022.5,6e+05,599944,563450,527694,525488,6e+05,6e+05,6e+05,574450,568000,536421,499500,494950,502500,549900,549990,559000,557000,579950,549450,575000,575000,575000,595000,575000,599000,6e+05,649900,627000,638350,649000,6e+05
"Avondale","Jacksonville","FL","Jacksonville","Duval",744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357500,365000,363450,331950,343500,357000,399000,349000,389900,369060,349900,4e+05,409000,364500,394000,415000,364950,379500,379000,379000,381750,399950,414950,425000,425000,425000,399500,405000,4e+05,427000,450000,449950,449900,415000,415000,399000,395000,395000,449000,422000,490750,479000,497000,465000
"Avalon Harbor","Pompano Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Broward",745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775000,685000,684947.5,712387.5,769000,775000,774950,780000,785000,798500,785000,695500,675000,647000,740000,775000,774950,725000
"Irish Channel","New Orleans","LA","New Orleans-Metairie","Orleans",746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385000,4e+05,419950,439000,439000,449000,449000,442000,445000,449000,464900,438250,448750,429000,439500,449999,449000,434500,444000,415000
"Bayshore","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049999.5,1900000,1720000,1690000,1925000,2050000,2224944,2349000,2399000,2399000,1999888,2200000,2149500,1998944,1995000,1975000,1800000,1850000,1862500,1800000,1725000,1850000,1800000,1800000,1712000,1710000,1710000,1799000,1974500,1997000,1992500,1992500,2099000,1999000
"Sylvan Park","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson",748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567450,575000,575000,587000,566500,559000,562000,582500,614900,596000,575000,599450
"Old Kensington","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369900,379450,389900,389900,424000,409900,419900,389450,365000,372500,389000,389500,362500,394750,410000,4e+05,419000,429000,435000,399900,427000,429900,425000,415000,425000,395000,399990,449900,475000,476450,479900,489900,469950,449945,467000,459950,449950
"Industrial District","Apple Valley","MN","Minneapolis-St. Paul-Bloomington","Dakota",750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382450,390400,396900,385900,399900,400900,395900,400900,403900,405000,420020,410900,419000,419990,428000,429900,438000,428000,430950,425900
"Trilogy","Corona","CA","Riverside-San Bernardino-Ontario","Riverside",751,382000,372000,399000,375000,342500,347000,359450,349450,339900,340000,339900,339925,337000,329900,329900,322900,327450,320000,320000,319900,3e+05,312500,320000,312500,312500,312500,319000,325000,324900,324900,329000,333700,349900,349999,361220,355500,368950,378500,383950,382000,399950,385750,399450,430000,439500,449450,455000,444500,445000,449000,441900,450000,466950,469250,464500,461750,459000,459950,465000,466000,455000,452450,456950,459900,454950,459500,470950,459000,459000,455000,452500,452450,475900,476999.5,472449.5,478250,468900,459999,452500,459000,459900,459000,459450,449900,454000,449500,456900,474900,497000,476900,495000,530000,519950,537894,537894,529900,534000,527000,525000,524900,524000,529900,526000,527000,519950
"Hampton Woods","Bakersfield","CA","Bakersfield","Kern",752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339500,319900,319500,329900,329046.5,330000,339950,350000,346500,332450,332250,334500,339999,345000,325000,330000,330000,342500,387950,417550,399000,389650,388350,389350,388250,385075,387725,388250,387450,388250,386975,389750,391450,387375,385000,364950,360000,349000,349000,357450,349900
"Marigny","New Orleans","LA","New Orleans-Metairie","Orleans",753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,440000,440000,469000,550000,580250,535000,584000,604500,619999.5,599000,569000,547500,569000,525000,525000,512000,499000,477450,479900,475000
"West End","New Orleans","LA","New Orleans-Metairie","Orleans",754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441500,436950,399500,429900,425000,419900,389000,379000,349900,365000,356950,364000,339900,344450,381950,362700,375000,4e+05,442000,435000,444500,441750,444500,445000,437000,406000,413000,399000,412450,399950,380000,399000,435000,427000,437250,429000,425000,425000,425000,407450,415000,449450,433000,472450,464500,449250,448500,452500,450000,450000,462000,459000
"Sunset Park","Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough",755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931000,877450,899990,805000,799499.5,854950,799499.5,850000,875000,841092,895000,862500,887450,871950,912400,859000,849900,822450,899000,799000,874300,962500,925000,887450,749000,814900,787450,799700,859900,829800,869450,789450,883850,859900,799000,799900,844500,950000,972500
"Biscayne Point","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000,1494500,1400000,1449500,1447000,1420000,1350000,1389500,1367600,1480000,1412000,1512000,1698000,1655000,1689000,1688000,1594950,1562500,1492500,1375000,1370000,1300000,1300000,1300000,1320000,1360000,1570000,1624950,1599500,1649900,1649900,1645000,1472500,1470000,1395000,1375000,1350000,1320000,1202500,1122500,1095000,1024500,1150000
"CCSI (South Inglewood)","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson",757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369900,372400,369900,364900,359900,359900,359900,359900,349900,359900,359900,364900,362399.5,369500,374900,374895,374900,374900,367900,372200,369500,369250,369250,372000,399000,399500,389900,397000,397000,394160,389900,389900,389900,397450,397500,394900,391950
