"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Sunnyside","New York","NY","New York-Newark-Jersey City","Queens",89,,,,,,,,,,,,1485,1545,1522.5,1550,1550,1550,1512.5,1550,1575,1575,1650,1662.5,1575,1550,1550,1550,1650,1625,1550,1675,1625,1700,1700,1750,1700,1750,1700,1750,1800,1800,1800,1780,1750,1775,1795,1800,1800,1850,1875,1875,1875,1875,1877.5,1900,1900,1900,1900,1900,1900,1950,1900,1950,1950,2000,2000,2100,2000,2075,2095,2030,2050,2050,1975,2000,1950,2000,2100,2100,2100,1950,1995,1900,1900,1925,2000,2000,2000,2000,1950,1971,1971,2000,1985,1950,2000,2100,2100,2100,2100,2100,2100
"Jamaica Plain","Boston","MA","Boston-Cambridge-Newton","Suffolk",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2575,2625,2650,2695,2672.5,2637.5,2595,2525,2600,2600,2800,2750,2700,2700,2750,2750,2750,2700,2700
"Greenwich Village","New York","NY","New York-Newark-Jersey City","New York",91,,,,,,,2900,3000,3000,3087.5,3037.5,2795,2795,2850,2900,2900,2895,2900,2900,2995,2950,2900,3100,3000,3150,3100,3100,3200,3250,3250,3250,3295,3200,3200,3150,3195,3195,3200,3200,3200,3250,3290,3300,3300,3300,3300,3395,3400,3400,3400,3450,3341.5,3300,3350,3495,3495,3395,3395,3395,3450,3400,3325,3295,3300,3495,3500,3550,3400,3400,3395,3300,3300,3300,3300,3300,3395,3295,3350,3401,3400,3295,3395,3400,3350,3450,3450,3450,3495,3500,3495,3400,3395,3295,3300,3489.5,3500,3497,3483.5,3597.5,3550,3500,3471
"Palms","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.5,1895,1720,1895,1995,2050,2050,1995,2172.5,2272.5,2272.5,2125,2295,2295,2195,2300,2047.5,2095,2150,2395,2200,2295,2395,2295
"Englewood","Chicago","IL","Chicago-Naperville-Elgin","Cook",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,1000,1100,1100,1050,1000,1000,900,900,900,950,950,950,1000,1000,950,950,1000,1000,1000,1000,1025,1000,1000,1000,1000,1000,1000,1100,1075,1000,1000,1000,1000,975,975,1000,1100,1000,1000,984,1000,1100,1100,1000,992,1075,1100,1119.5,1000,1050,900,1000,1100,1000,1000,1000,1044,1000,1000,1000,1000,1050,1050,1020,1044,1088,1100,1195,1100,1100,1100,1100,1088
"East Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1450,1500,1500,1550,1700,1800,1895,1900,1987.5,1850,1800,1800,1895,1850,1800,1800,1950,1900,1995,2000,2000,1900,2000,2100,2100,2040,2000,2000,2100,2100,2175,2145,2200,2115,2200,2200,2247.5,2247.5,2222.5,2200,2187.5,2300,2300,2300,2250,2175,2200,2175,2450,2400,2400,2450,2500,2500,2500,2475,2400,2300,2250,2200,2500,2500,2550,2550,2500,2500,2450,2414.5,2500
"Kew Gardens Hills","New York","NY","New York-Newark-Jersey City","Queens",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,1975,1997,1975,2000,1999,1950,1950,1975,1975,1975,1975,1975,1975,1950,1950,1950,1975,2000,2000,2000,2000,2000,2075
"Portage Park","Chicago","IL","Chicago-Naperville-Elgin","Cook",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,1285,1295,1175,1150,1285,1285,1250,1295,1250,1175,1200,1300,1295,1250,1287.5,1245,1195
"Brighton","Boston","MA","Boston-Cambridge-Newton","Suffolk",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.5,1850,1900,1900,1895,1875,1895,1900,1900,1925,1975,1950,1950,1995,1995,2000,2045,2005,2000,2000,1995,1985,1950,1950,1975,2000,2039,2000,2030,2050,2055,2050,2050,2100,2100,2049.5,2100,2050,2200,2300,2250,2350,2550,2300,2400,2500,2450,2200,2175,2100,2300,2400,2500,2500,2500,2500,2500,2500,2400,2255,2200,2400,2500,2500,2500,2550,2595,2550,2550,2550
"Rego Park","New York","NY","New York-Newark-Jersey City","Queens",98,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1750,1724.5,1600,1595,1650,1750,1687.5,1700,1700,1700,1750,1750,1750,1800,1800,1805,1800,1800,1775,1800,1750,1775,1900,1825,1900,1900,1925,1900,1900,1950,1900,1950,1900,1900,1900,2000,2050,2050,2100,2150,2150,2195,2250,2200,2150,2150,2250,2000,2150,2250,2000,1950,2000,1912.5,1937.5,2000,1880,1845,1895,1875,1925,2100,2000,2032.5,1985,1950,1950,1955,2025,1986,1975,1997.5,2050,2100,2137.5
"Mar Vista","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,2200,2372.5,2200,2285,2395,2195,2200,2195,2147.5,1972.5,2147,2045,2347.5,2195
"Coral Way","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.5,1900,1900,1900,1860,1950,1900,1900,1900,1975,1800,1800,1950,2000,1950,2080,2000,2100,2142.5,1925,1995,1900
"Morris Heights","New York","NY","New York-Newark-Jersey City","Bronx",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.5,1550,1750,1495,1537.5,1650,1650,1675,1650,1675,1675,1712.5,1650,1700,1800,1700,1862.5,1850,1700,1750,1800
"Melrose","New York","NY","New York-Newark-Jersey City","Bronx",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.5,2000,1875,1650,1719,1829,1795,2000,2100,2000,1997.5,2000,1950,1793.5,1833,1950
"Parkchester","New York","NY","New York-Newark-Jersey City","Bronx",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.5,1350,1375,1375,1400,1400,1400,1400,1450,1495,1400,1400,1400,1400,1400,1450,1450,1450,1475,1600,1600
"Inwood","New York","NY","New York-Newark-Jersey City","New York",104,,,,,,,,,,,,,,,,,,,,,,,,1450,1450,1450,1387.5,1472.5,1495,1450,1370,1350,1437.5,1450,1482.5,1485,1450,1450,1462.5,1450,1450,1450,1450,1450,1448,1450,1450,1475,1495,1550,1599,1600,1650,1600,1650,1650,1612.5,1650,1600,1600,1637.5,1650,1662.5,1750,1650,1637.5,1700,1700,1797.5,1795,1700,1700,1650,1700,1700,1762.5,1695,1625,1695,1646.5,1675,1695,1750,1785,1795,1860,1825,1825,1825,1812.5,1800,1700,1775,1799,1795,1825,1850,1800,1875,1857.5,1835,1895
"Greater Heights","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.5,1050,1012.5,1050,1050,1095,1195,1150,1162,1250,1200,1150,1175,1150,1195,1100,1062.5,1172.5,1100,1175,1195,1195
"South Loop","Chicago","IL","Chicago-Naperville-Elgin","Cook",106,,,,,,,,,,,,,,,,,,,2031,2059,1915,1860,1787.5,1879,1938,2000,2107.5,2052,1978,1910,1860,1903,1901,1902,2035,1955.5,2008,1975,1956,1950,1950,1849.5,1885,1900,1970,1925,1900,1950,1949,1904.5,1958.5,1987,2000,1989,2000,2005,2005,2000,1865,1851.5,2000,2002.5,2014,2018,2006,2006,1987,2026,1987,2008,1995,1969.5,1937,1925,1959.5,2008,2009,1979,2000,1999,1900,1959,1983,1995,2062,2030,2070,2100,2100,2019,2043.5,2008,1975,2000,1995,1981,2030,2035.5,2099,2100,2030,2200
"Humboldt Park","Chicago","IL","Chicago-Naperville-Elgin","Cook",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1150,1197.5,1350,1350,1312.5,1250,1295,1300,1300,1295,1295,1225,1125,1272.5,1200,1200,1400,1362.5,1350,1300,1350,1150,1295,1225,1350,1385,1400,1400,1395,1350,1300,1361,1395,1495,1500,1500,1350,1450,1472.5,1395,1372,1350,1422,1367.5,1400,1450,1450,1500,1500,1500,1550,1500,1495,1450,1400,1400,1400,1497.5,1500,1500,1500,1500,1550,1500
"High Bridge","New York","NY","New York-Newark-Jersey City","Bronx",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612.5,1700,1650,1650,1700,1675,1650,1675,1875,1900,1950,1950,1950,1975,1985,1950,1895,1950,1950,1995,1995
"Norwood","New York","NY","New York-Newark-Jersey City","Bronx",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292,1283.5,1355,1283.5,1250,1250,1287,1275,1275,1275,1270,1272,1275,1300,1300,1250,1287.5,1342.5,1350,1300,1300,1400,1375,1359,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1400,1450,1450,1450,1450,1510,1525,1497.5,1512.5,1550,1500,1500,1500,1500,1500,1550,1562.5,1650,1625,1597.5,1625,1625,1625,1600,1550,1550,1537.5,1550,1637.5
"Morningside Heights","New York","NY","New York-Newark-Jersey City","New York",110,,,,,,,,,,,,2250,2410,2395,2150,2125,2325,2495,2672.5,2595,2500,2500,2497.5,2446,2447.5,2495,2647.5,2600,2500,2500,2597.5,2597.5,2600,2600,2595,2595,2595,2599,2600,2700,2695,2695,2695,2695,2650,2700,2750,2795,2800,3095,2895,3400,3100,3000,2747.5,2800,2750,2850,2995,2700,2850,2925,2850,2850,2950,2850,2875,2850,2800,2772.5,2800,2800,2795,2797.5,2800,3045,2950,3187.5,2974,3000,3090,3200,2916,2812,3000,3100,3075,3000,3215,3022,2857,2887,2893.5,2895,2820,2987,2859.5,3000,3197,3100,3199,3000
"Edgewater","Chicago","IL","Chicago-Naperville-Elgin","Cook",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,1295,1305,1350,1395,1410,1400,1384,1395,1399,1400,1400,1350,1300
"Lake View East","Chicago","IL","Chicago-Naperville-Elgin","Cook",112,,,,,,,,,,,,1085,1085,1107.5,1130,1125,1100,1150,1150,1095,1132.5,1105,1215,1195,1220,1225,1225,1225,1190,1270,1282.5,1312.5,1267.5,1267.5,1332.5,1250,1280,1247,1210,1245,1275,1267.5,1245,1245,1300,1245,1250,1250,1275,1295,1275,1250,1275,1280,1250,1295,1250,1295,1295,1295,1300,1345,1335,1345,1295,1302.5,1300,1325,1350,1395,1350,1375,1400,1407.5,1387.5,1350,1350,1350,1345,1385,1315,1350,1450,1450,1395,1395,1395,1377.5,1440,1450,1450,1395,1412,1487,1440,1442.5,1445,1450,1418,1400,1395,1325
"Fort Greene","New York","NY","New York-Newark-Jersey City","Kings",113,,,,,,,,,,,,,,,,,,,2500,2538,2538,2652.5,2588,2435,2462.5,2495,2447.5,2480,2567,2603.5,2612,2547,2695,2658,2722,2650,2660.5,2750,2697.5,2666.5,2700,2700,2675,2700,2700,2700,2743,2750,2750,2809,2822.5,2750,2815,2850,2850,2895,2900,2950,3250,3137,3200,3443,3400,3000,3000,3000,2999,2999,2995,3000,2996,3001.5,3000,3000,3037.5,2995,2995,3094.5,2991,2999,2911,2773,2883,2995,3100,3050,3070,3060,3130,2995,2850,2750,2750,2794.5,2750,3092,3000,2992.5,3238,3190,3156,3149
"Whitestone","New York","NY","New York-Newark-Jersey City","Queens",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2200,2250,2100,2200,1950,2200,2300,2100,2100,2100,2200,2250,2200,2200,2100,2100,2100,2100,2200,2200,2200,2200,2200,2200,2225,2300
"South Shore","Chicago","IL","Chicago-Naperville-Elgin","Cook",115,,,,,,,,,,,,,,,,,,,,712.5,750,750,750,695,750,750,750,750,770,750,725,740,750,750,740,750,750,765,770,800,800,795,750,750,750,750,750,750,760,800,800,850,750,800,850,850,900,907.5,900,875,900,925,997.5,1000,950,1100,1100,1000,1000,1000,1000,1050,1050,1000,1000,997.5,980,1000,1000,950,1000,1000,1000,1044,1044,1044,1044,1044,1044,1044,1044,1000,1000,1000,1025,1044,1044,1047,1044,1088,1050,1044
"North Park","San Diego","CA","San Diego-Carlsbad","San Diego",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1600,1575,1625,1650,1597,1575,1600,1612.5,1595,1595,1595,1650,1695,1695,1699,1695,1710,1725,1672.5,1795
"South Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427,2479,2585,2405,2400,2400,2550,2800,2884,2900,2800,2750,2700,2700,2777,2795,2750,2780,2800,2895,2900,2972.5,2800,2785,2833,2900,2612.5,2647.5,2675,2730,2713,2700,2800,2900,2730,2730,2650,2650,2700,2700,2800,2850,2850,3000,2738,2800,2850,2800,2856,2925,2800,2800,2845,3000,3100,3040.5,3029,3024.5,2985.5,3000,2950,3000,3000,3000,2850,3000,3000,3050,3100,3200,3200,3300
"Silver Lake","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895,2750,2295,2250,2650,2600,2850,2775,2500,2500,2600,2950,2825,2685,2700,2922.5,2695
"Morris Park","New York","NY","New York-Newark-Jersey City","Bronx",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262.5,1302.5,1327.5,1250,1285,1247.5,1200,1297,1250,1250,1255,1250,1295,1300,1300,1325,1350,1399,1326,1350,1350,1375,1399,1400,1437.5,1400,1500,1475,1450,1450,1450,1425,1450,1500,1450,1450,1500,1450,1450,1497.5,1500,1500,1750,1800,1500,1550,1625,1799,1697.5,1600,1672,1762.5,1795,1775,1795,1795,1725,1750,1795,1795,1797,1899.5,1825,1850,1801,1850
"Dyker Heights","New York","NY","New York-Newark-Jersey City","Kings",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,1677.5,1750,1650,1600,1600,1700,1650,1600,1700,1700,1700,1700,1800,1750,1800,1800,1800,1850,1850,1895,1900,1975,1900,1950,1950,2000,2000,2000,2000,1850,1975,1900,1900,2050,2000,2100,2200,2150,2100,2150,2100,2050,2000,1925,1900,1995,2000,2000,1995,2000,2000,2000,2000,2000,1900,2000,2000,1950
"Throggs Neck","New York","NY","New York-Newark-Jersey City","Bronx",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,2100,1900,1875,1950,1950,1900,1950,1987.5,2000,2137.5,2000,2000,2000,2200,2200,2300,2250,2200,1950
"Hyde Park","Boston","MA","Boston-Cambridge-Newton","Suffolk",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2287.5,2186,2209.5,2250,2000,2125,2175,2050,1850,1850,1825,1895,1950,2200
"Hollywood Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895,2782.5,2795,2947.5,3097.5,2922.5,2695,2898,2875,2922.5,2924,3250,2800
"Sawtelle","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595,2595,2375,2350,2470,2495,2197.5,2125,2345,2395,2195,2150,2061.5,2345,2600,2295,2395,2495,2495,2323
"Capitol Hill","Seattle","WA","Seattle-Tacoma-Bellevue","King",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445,1350,1295,1347.5,1395,1400,1450,1350,1367.5,1335,1297.5,1325,1395,1495,1400,1295,1300,1325,1395,1395,1395,1395,1424.5,1495,1495,1525,1495,1422.5,1462.5,1362.5,1350,1350,1372.5,1525,1425,1450,1385,1410,1495,1420,1372.5,1395,1485,1520,1550,1590,1595,1595,1625,1602.5,1550,1495,1495,1570,1545,1595,1595,1595,1635,1612.5,1650,1575
"Greenpoint","New York","NY","New York-Newark-Jersey City","Kings",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2700,2350,2400,2150,2365,2300,2400,2299.5,2600,2675,2800,2900,2925,2900,2850,2800,2700,2695,2625,2600,2700,2950,2995,2850,2850,2828.5,2900,2900,2795,2795,2700,2650,2800,2970,2915,2800,2900,2915,2907,2800,2750,2700,2700,2750,2850,2800,2850,2900,2800,2895,2895,2850,2665,2792.5,2769.5,2749,2799,2799,2899,2897,2800,2850,2750,2695,2600,2600,2599,2699,2800,2800,2900,3000,2950,2950
"Glendale","New York","NY","New York-Newark-Jersey City","Queens",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1450,1500,1500,1500,1500,1500,1550,1500,1500,1500,1500,1500,1500,1600,1550,1550,1600,1600,1600,1600,1600,1700,1600,1650,1650,1600,1762.5,1700,1800,1875,2000,1800,1799,1700,1800,1825,1800,1800,1800,1999,1925,1872.5,1995,1987,1925,2000,1900,1875,2000,2000,2000,2000,2000,1995,1900,1900,2000,2000,2100,2150,2100,2100,2000,2000,1900,2000,2000,2025,2100
"Prospect Lefferts Gardens","New York","NY","New York-Newark-Jersey City","Kings",128,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1600,1600,1600,1550,1525,1599,1600,1700,1600,1600,1625,1799.5,1800,1850,1900,1800,1750,1700,1600,1600,1650,1699,1799,1774.5,1800,1850,1850,1800,1712.5,1795,1850,2100,2000,1999.5,2000,1900,1900,1850,1875,1900,1950,1950,1950,1950,1950,1980,2000,2197,2200,2095,2162.5,2050,2300,2130,2050,2100,2099,2120.5,2097.5,2150,2200,2200,2200,2200,2195,2200,2099,2200,2299,2350,2400,2400,2477,2386,2395
"Venice","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3547.5,3600,3522.5,3474.5,3145,3275,3275,3850,3597.5,3695,3750,3500,2900,2747.5,3240,3300,3522.5,3500,3600,3350
"West Roxbury","Boston","MA","Boston-Cambridge-Newton","Suffolk",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080,1925,2100,2000,1895,1920,1995,1950,1995,2200,2245,2200,2200,2000,2000,2100,2177.5,2150,2175,2157.5,2150,2285,2350,2100
"Little Haiti","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1412.5,1387.5,1400,1595,1572.5,1450,1425,1460,1500,1395,1300,1325,1300,1400,1450,1387.5,1362.5,1350,1350,1437.5,1425,1325
"Kingsbridge","New York","NY","New York-Newark-Jersey City","Bronx",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1650,1775,1575,1590,1675,1596.5,1695,1625,1597.5,1500,1575,1550,1800,1825,1762.5,1775,1775,1862.5
"Middle Village","New York","NY","New York-Newark-Jersey City","Queens",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2075,2100,1900,1900,2000,2000,2000,2000,2000,2000,1950,2000,2000,2200,2200,2100,2100,2000,2100,2000
"Ocean Hill","New York","NY","New York-Newark-Jersey City","Kings",134,,,,,,,,,,,,,,,,,,,,,,,,,,,1482,1500,1572.5,1695,1595,1600,1550,1550,1597.5,1600,1600,1600,1700,1800,1800,1799.5,1750,1700,1700,1650,1600,1600,1600,1700,1700,1750,1800,1800,1800,1800,1800,1800,1899.5,1850,1850,1800,2000,2100,2100,2149.5,2100,2000,2000,2099,2100,2100,2100,2100,2099,2200,2100,2100,2100,2200,2100,2035,2100,2195,2198,2200,2200,2200,2300,2170,2149,2200,2197,2162.5,2200,2195,2200,2200,2299,2300,2380,2300
"Homecrest","New York","NY","New York-Newark-Jersey City","Kings",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1395,1375,1437.5,1500,1490,1450,1450,1500,1525,1525,1495,1450,1500,1585,1670,1650,1650,1625,1696.5,1675,1612.5,1600,1695,1599,1575,1695,1600,1687.5,1662.5,1650,1650,1675,1700,1675,1650,1625,1600,1600,1650,1650,1699,1600,1850,1895,1925,1949,1950,1825,1760,1850,1800,1795,1850,1850,1862.5,1800,1922.5,1800,1775,1799.5,1850,1850,1875
"Pacific Beach","San Diego","CA","San Diego-Carlsbad","San Diego",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880,1845,1745,1745,1770,1770,1745,1750,1695,1722.5,1795,1897.5,1897.5,1872.5,1995,1895,1950,2280,2145,2195,2115
"Neartown - Montrose","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1125,1172.5,1195,1250,1197.5,1170,1195,1150,1195,1150,1075,1035,1095,1095,1095,1100,1150,1150,1125,1150,1197.5
"Downtown","Jersey City","NJ","New York-Newark-Jersey City","Hudson",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2547.5,2662.5,2400,2400,2400,2400,2450,2475,2400,2450,2400,2550,2395,2412.5,2400,2475,2437.5,2345,2400,2450,2450,2450,2450,2500,2600,2500,2362.5,2600,2600,2650,2587.5,2732.5,2510,2750,2725,2750,2600,2800
"Briarwood","New York","NY","New York-Newark-Jersey City","Queens",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1562.5,1587,1400,1475,1425,1387.5,1400,1375,1375,1375,1375,1400,1400,1450,1475,1495,1495,1496,1562.5,1550,1595,1695,1550,1650,1587.5,1550,1575,1612.5,1649,1775,1728,1775,1760,1695,1725,1747.5,1750,1775,1762.5,1750,1850,1725,1750,1750,1800,1772.5,1695,1695,1725,1725,1750,1740,1775,1800,1797,1850,1850,1850,1849,1849,1795,1795,1825,1875,1875,1925,1975,1840,1862.5
"South End","Boston","MA","Boston-Cambridge-Newton","Suffolk",140,,,,,,,,,,,,,,,,,,,,,2450,2362.5,2400,2400,2400,2387.5,2500,2500,2600,2600,2600,2600,2700,2600,2600,2560,2600,2700,2725,2800,2800,2800,2800,2807,2850,2850,2875,2800,2800,2770,2800,2800,2775,2700,2700,2750,2800,2825,2800,3000,2800,2800,2800,2800,2800,2700,2700,2700,2800,3000,3000,3000,3000,3000,3000,3000,2895,3000,3000,2600,2995,3200,3200,3000,3000,2950,3000,3000,3000,3000,3000,2950,3000,3000,3200,3275,3250,3300,3250,3250,3200,3185
"Bronzeville","Chicago","IL","Chicago-Naperville-Elgin","Cook",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1350,1395,1175,1204,1350,1375,1477,1350,1310,1400,1365,1370,1375,1387.5,1300,1295,1275,1250,1200
"Roslindale","Boston","MA","Boston-Cambridge-Newton","Suffolk",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,1950,1912.5,1900,1900,1850,1850,1800,1700,1650,1650,1700,1950,1850,1800,1850,1800,1825,1800,1800,1900,2000,2075,2195,2100,2050,2025,1925,2000,1800,1800,1750,1850,2000,2000,1900,2150,2097.5,2225,1962.5,1955,2050,1800,1925,1800,1900,1900,2000,2195,2200,2195,2195,2195,2000,2000,2050,2000,2100,2300,2300,2300,2200,2200,2200,2100
"Brighton Beach","New York","NY","New York-Newark-Jersey City","Kings",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,1800,1950,1962.5,1975,2000,2100,2000,2037,2037.5,2000,1950,1900,1950,1995,2000,2050,2050,2042.5,2000,2050
