"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"South Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1675,1675,1600,1625,1702.5,1750,1720,1750,1790,1800,1800,1775,1745,1795,1700,1750,1700,1795,1895,1900,1900,1800,1800,1800,1799.5,1850,1900,1900,1900,1900,1900,1950,2000,1900,1800,1900,1900,1900,1900,2000,1950,2200,2100,2000,1895,1897.5,2050,2000,2100,2100,2050,2200,2200,2200,2300,2250,2200,2200,2200,2200,2300,2300,2200,2250,2237.5,2300,2325,2400,2400
"Park Slope","New York","NY","New York-Newark-Jersey City","Kings",52,,,,,,,,,,,,1995,2050,2325,2300,2500,2495,2512.5,2400,2495,2500,2575,2500,2550,2650,2525,2600,2700,2700,2750,2722.5,2747.5,2700,2720,2750,2685,2675,2800,2750,2800,2700,2685,2700,2700,2695,2650,2650,2600,2606.5,2800,2800,2800,2800,2900,2900,2750,2750,2750,2800,2800,2800,2995,3000,2900,2900,2850,2900,2850,2846,2850,2750,2750,2750,2747.5,2850,2700,2800,2900,2800,2800,2800,2750,2700,2700,2700,2800,2800,2800,2875,2800,2800,2777,2750,2800,2750,2683,2800,2800,2800,2850,2900,2950
"Jackson Heights","New York","NY","New York-Newark-Jersey City","Queens",53,,,,,,,,,,,,,,,,,,,,,,1537.5,1425,1495,1537.5,1562.5,1575,1550,1575,1525,1575,1650,1700,1675,1700,1675,1650,1650,1650,1700,1700,1700,1700,1700,1700,1700,1700,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1775,1750,1750,1750,1800,1800,1837.5,1850,1850,1850,1850,1850,1850,1850,1850,1750,1800,1820,1800,1850,1862.5,1834,1762.5,1900,1800,1800,1775,1800,1750,1800,1800,1850,1800,1797.5,1900,1850,1900,1850,1850,1800,1800,1810,1820,1850
"Midtown","Memphis","TN","Memphis","Shelby",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.5,612.5,700,750,750,750,695,695,675,675,715,715,695,695,695,675,675,695,675,650,675,685
"Midwood","New York","NY","New York-Newark-Jersey City","Kings",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1300,1350,1350,1350,1350,1350,1350,1395,1395,1399.5,1395,1399,1400,1400,1400,1497,1515,1575,1597.5,1515,1450,1475,1500,1550,1575,1550,1550,1700,1600,1550,1650,1700,1700,1724.5,1750,1800,1800,1850,1850,1700,1800,1850,1700,1800,1700,1700,1724.5,1762.5,1850,1870,1835.5,1750,1800,1750,1700,1750,1700,1800,1750,1750,1725,1715,1700,1737,1725,1735,1765,1850
"East Elmhurst","New York","NY","New York-Newark-Jersey City","Queens",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225,2200,2150,2160,2200,2200,2200,1992.5,2000,2050,1975,2000,2100,2075,2100,2100,2040,2100,2400,2400,2400
"Gravesend","New York","NY","New York-Newark-Jersey City","Kings",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1699,1699,1710,1750,1700,1750,1800,1775,1700,1700,1800,1800,1875,1800,1750,1735,1750,1800
"Bath Beach","New York","NY","New York-Newark-Jersey City","Kings",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1550,1400,1450,1425,1395,1300,1475,1450,1475,1475,1450,1500,1400,1500,1525,1500,1500,1500,1600,1550,1600,1600,1600,1662.5,1750,1750,1800,1800,1725,1725,1800,1800,1795,1800,1800,1800,1850,1900,1900,1900,1900,1897.5,2100,1800,1872.5,1822.5,1847.5,1850,1900,1850,2025,2000,2000,1987.5,1950,2000,2000,2000,2000,2000,2000,2100,2000,2000,2000,2000,2000,1950,1950,1900,1900
"Ozone Park","New York","NY","New York-Newark-Jersey City","Queens",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1800,1999,1999.5,2000,2000,2000,2000,2100,2000,2000,2000,2100,2100,2100,2100,1850,1950,2000,2100,2100
"Mission","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3725,3455,3500,3420,3500,3685,3550,3962.5,3800,3825,3900,3995,3972.5,4272.5,3895,3995,4395,4000,3995,3900,3750,4025
