"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"McCully-Moiliili","Honolulu","HI","Urban Honolulu","Honolulu",136,325000,315000,315000,321900,321900,319500,312500,318450,314750,310000,308500,309000,301000,312500,319000,325000,330000,325000,330000,339500,337000,342500,339900,337700,337700,330000,329800,339000,349888,364450,372500,375000,375000,349000,360000,328000,305350,305700,295000,324000,320000,330000,375000,375000,349950,335000,347000,335000,350000,399000,352475,349000,399000,398500,365000,365000,397000,355000,350000,360000,355000,345000,340000,359000,359000,358500,377000,396500,395000,410000,427500,450000,459000,395000,425000,474500,430000,398500,389000,390000,388000,392550,399000,387000,389000,375000,390000,417500,415000,414000,420450,409500,4e+05,411944,417000,419500,429000,419000,410000,420000,426944,415000,399500,409500,429000
"Howard Beach","New York","NY","New York-Newark-Jersey City","Queens",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,239000,214999,217000,229000,219999,219499.5,219000,225000,229999,235000,235000,238800,235000,238800,239000,238800,239000,242999,240999.5,225000,242999,249999,259000,225000,235000,249888,259000,259000,254499.5,249943.5
"Flatiron District","New York","NY","New York-Newark-Jersey City","New York",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232500,2280000,2369000,2250000,2350000,2450000,2250000,2360000,2247500,2395000,2595000,2595000,2847500,2777800,2880000,2888000,2928750,2916000,2975000,2975000,3e+06,3050000,3200000,3117500,2987500,3150000,2972500,2875000,2942495,2950000,2962500,2975000,2997500,3040000,3150000,3150000,3200000,3100000,3100000,3174995,3050000,2949990,2895000,2942500,2800000,2800000,2850000,2600000,2550000,2699990,2699995,2695000,2537500,2699995,2600000
"Abbott Loop","Anchorage","AK","Anchorage","Anchorage",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226000,224900,219900,205500,211750,219900,223500,219750,240900,232450,229900,225000,233950,220000,214000,210000,212450,220000,218900,210000,234000,246000,246000,277900,246000,210000,246000,246000,222450,224900,215000,209950,209900,209900,212450,212450,214900,209900,213500,219450,216250,219900,219450,219900,219900
"Clinton Hill","New York","NY","New York-Newark-Jersey City","Kings",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515000,549000,499500,539500,625000,550000,530000,495000,547000,632000,639000,664500,679000,679000,699000,707450,685000,699000,674500,694000,675000,642000,675000,725000,725000,829000,725000,845000,794500,822000,849000,839500,832000,832000,844500,899000,899500,9e+05,870000,865000,849500,899000,870000,912500,915000,912500,924000,949000,889000,779000,850000,855000,849500,824000,799999,799000
"Douglaston-Little Neck","New York","NY","New York-Newark-Jersey City","Queens",141,235000,235000,229000,229000,238500,240000,240000,239777,240000,245000,240000,239000,239000,247000,245000,245000,239000,239000,238944,236900,236900,239000,229000,229000,219800,219400,219800,225000,218000,218000,218000,219000,228000,225000,218888,218000,218944,209000,199000,209000,209000,223000,225000,229000,241999.5,229000,228000,229000,234000,225000,215000,209000,225000,227500,229000,229000,229000,238900,239000,259888,253944,259939,260000,255000,255000,249000,255000,269499.5,267000,262000,267000,249499.5,249000,259500,261000,258000,259499.5,261400,266500,265000,266500,275000,279500,292000,295000,317000,299000,289000,290000,289000,299000,299000,307000,309000,312000,298944,290000,308000,308000,308000,316944,318944,314000,315000,319000
"Woodbridge","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",142,425000,429499.5,476500,469900,427000,417000,422944,419439,429900,428000,427950,429450,415000,394990,392495,399450,399450,419000,407000,411950,399000,4e+05,388900,382500,389000,383000,387550,389450,407500,424900,418000,447450,475000,439000,450000,499900,490000,449950,430050,445000,482000,478000,454950,525000,485000,486944,464444,519900,534894,525000,507000,529900,535900,535900,561299.5,559999,549900,550000,535000,537000,498000,517000,550000,540000,557900,598000,549000,595000,595000,589000,622000,589250,625000,619250,609450,575000,596000,599000,632000,625000,596300,564000,589000,625950,597400,629900,698875,698750,644450,610000,595000,597000,604000,608000,639999,699000,724000,689999.5,692499.5,655000,678000,675000,681500,679000,663940
"West Town","Chicago","IL","Chicago-Naperville-Elgin","Cook",143,360000,359900,349450,349000,349000,349000,349000,344950,332450,320000,319000,319000,312450,319000,310000,3e+05,299850,299500,299000,299000,299000,284999.5,285000,274999,274999,297000,298750,299900,294900,289900,299000,304500,3e+05,299000,289000,289999,318250,343950,359900,349000,359900,349000,359900,345000,349000,373500,369000,347250,360950,374900,389000,404900,369000,392900,399000,375000,394000,389000,375000,380000,385750,378500,378750,375000,379000,388998.5,389900,389000,399900,410000,434900,444450,424900,4e+05,412500,429000,429000,429450,449850,420000,432500,425000,424900,449000,467450,460000,462499.5,475000,467450,499000,475000,469450,477000,472400,499000,5e+05,545000,514950,497000,477000,485000,489450,479000,484875,499000
"Greenbrier East","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",144,229000,257500,224250,222400,204900,202450,202450,206700,199950,186500,185000,187000,187000,195000,192450,189000,191950,194500,216200,189000,197500,196900,220000,220250,207400,220000,238000,223000,239900,226500,223500,232450,230000,222450,205900,218900,199950,216660,229900,232000,230950,213900,235000,233000,230000,220000,210495,205000,229000,226500,234900,235000,235000,220000,209945,208862.5,225000,225000,220000,215900,220000,239900,209900,209900,206000,214900,215000,214999,204900,215000,219500,227000,210000,214500,216000,245000,264990,249990,252490,249990,244900,249900,252500,260900,255000,259950,254900,262200,269400,252450,249949.5,232900,235000,232900,215000,192750,218000,235000,231200,229950,232000,221245,224990,210450,226000
"Brickell","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",145,335000,340000,330000,329000,335900,325000,326000,320000,325000,314450,322500,320000,324000,350000,350000,350000,365000,365000,370000,369500,375900,369000,389000,395000,388000,385000,4e+05,4e+05,410900,410900,415000,450000,495000,443900,439000,449000,450000,449000,449000,446500,435000,439950,449000,449000,459000,450000,460000,465000,460000,455000,455000,450000,463000,460000,460000,460000,468777,470000,480000,480000,475000,472500,466950,468750,456425,450000.5,468750,478400,475000,475000,480000,490900,480000,480000,469900,475000,471900,475000,475000,470000,469000,469700,475000,469000,479000,470950,465000,464000,465000,475000,479500,488000,495000,499000,499000,499000,499000,499000,499900,499000,515000,520000,520000,520000,525000
