"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Princess Anne","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393000,380000,390000,405000,427364.5,424814.5,418450,409900,418500,416500,409000,406400,409950,397450,415000,409900,410000,385000,385000,385000,389500,395000,395950,398450,389900,379900,393000,408625,409900,401950,399450,409400,424867.5,416950,414900,412000,399997.5,409000,419900,409900,425280,417000,412900,409925,399900,389450,395000,399900,390475,399000,399000,379900,367000,379900,379900,379900,395000,399900,405900,405400,399900,399900,412000,399500,399450
"East Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",45,192900,198750,189900,185000,194900,195000,195000,194750,194750,195000,190000,185000,179900,186500,180000,179900,179900,179900,179900,179900,184450,184900,179250,179000,177500,178000,173500,184850,184850,182900,192500,199000,205000,215000,205000,199000,194900,194900,205000,205000,209950,218000,210350,210000,201950,2e+05,195000,199900,189900,199900,199000,199450,208650,214900,209900,204000,211000,207000,199900,202400,210000,210200,218000,226450,230000,235000,236750,239999,234999,230000,225750,229000,229000,229900,239250,235000,242000,235000,235000,237900,249900,246500,249900,255000,250000,261250,259900,257500,260000,276000,293500,279900,268950,279900,279950,270950,289000,289900,3e+05,312449.5,302500,295450,296900,299700,295000
"Northeast Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",46,245000,239950,239900,244950,249900,240000,240000,244900,247000,247000,239900,234500,233250,229350,229900,229900,229900,229900,226250,229700,228750,229900,224900,229900,230000,224950,219900,220000,219949.5,225000,229900,231950,229900,231900,229900,234900,242450,240000,240000,247900,249900,249900,240000,249000,249900,241500,250000,249200,245000,245000,242500,248500,255000,250000,249500,248900,250000,255000,252450,256200,279200,274400,257425,265000,270000,279950,285000,275750,274500,269950,270000,274950,277450,279900,276950,279495,285000,285000,285000,277500,279900,279000,277350,290000,289900,299900,310000,3e+05,289950,292450,320000,309900,307450,292500,299925,309900,309900,325000,325000,344500,325000,315000,325000,329950,345000
"Kingwood","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",47,227500,219900,210000,2e+05,216200,214900,210000,210700,221000,219000,219900,219900,219900,219995,222700,224000,224900,229900,229500,225000,222950,219900,208950,219150,219500,224700,219300,222500,229000,234500,237500,239000,239900,239900,239900,245990,256740,250990,250000,252490,249500,249900,249900,249900,254000,259900,240000,259900,274990,275495,279445,289900,284900,285000,285450,288750,292950,289900,279900,298500,297200,299500,299995,3e+05,299000,299650,307950,307950,309000,311950,315000,314950,315975,309900,299000,307950,299900,299900,294949.5,285000,285000,285000,279900,299000,299500,295000,295000,295000,299900,299500,294900,295000,300244.5,299900,319900,309450,324950,310000,299900,298500,299900,299140,294945,289900,297750
"Woodward Park","Fresno","CA","Fresno","Fresno",48,379000,376750,389450,376750,350000,347400,302495,299998,310000,305000,299900,305000,299000,294875,290000,285000,289000,275000,274900,289500,286950,308990,314500,294450,299900,279900,299900,270000,274900,275000,319900,330000,338000,309000,309900,312500,311750,324000,329000,344990,379900,344995,330000,333400,352570,353020,377745,356000,354950,359900,374925,352500,339950,338552.5,339950,337950,350975,367000,359000,359000,379000,379475,372474,379499,369975,379900,399900,395000,390000,375000,374900,377499.5,385425,370000,368500,369900,379450,402225,389900,395888,394444,391000,433000,434900,389000,404500,434500,449850,449925,468950,465950,450000,477200,452000,440500,441975,429000,417850,429900,429450,454000,459000,444900,449390,439000
"Centennial Hills","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",49,219900,219900,201975,199000,204900,190855,189900,184900,189000,184950,185284,174875,175000,164975,165000,164900,171000,198950,199950,2e+05,215000,224950,225000,214995,214900,217200,199999,199900,212900,229950,209500,209950,214900,220000,214900,214900,220000,229900,235000,260000,240000,235000,259950,250000,250450,261950,275000,275000,290000,287500,284950,304900,317000,319000,319450,315000,315000,310000,320000,299990,297390,299990,324950,339450,337000,330000,345499.5,329900,330000,336950,349000,350000,354500,349950,334500,334500,345000,349999.5,354975,349888,354975,369000,372000,379900,389995,379000,367923,359900,382067,375000,377000,399000,377500,405000,399450,421495,405000,417990,389434,420000,445000,455990,450000,474481,499000
"Lone Mountain","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",50,195000,199900,195000,198900,192072.5,189500,179900,179900,175000,169250,167000,159250,154900,150000,153000,154900,159000,159900,164500,165000,165000,159647,159900,155000,155150,158500,160000,171000,179200,181500,182400,180000,189900,189900,179900,184900,190000,192000,190000,192950,2e+05,209950,205000,208000,220000,230000,234999,230000,239990,239900,249945,250000,249990,249999,255000,259900,259900,255000,271999.5,265000,265500,274900,275000,275000,295000,275000,284950,295000,291969,291200,293999.5,3e+05,289000,3e+05,304000,304000,303972.5,304999,318000,324900,318500,319450,316500,310000,311400,310000,325000,319499.5,325000,339900,344450,339388.5,340000,339900,344600,347500,329999,346990,369999,349950,365000,372950,384990,386995,389000
"Parkway","Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282450,277000,269000,269000,269999,269450,259000,250000,274500,279000,280000,285000,285000,289000,289000,279000,279000
"Kempsville","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",52,302450,299700,306450,289500,295000,292000,296750,299900,289900,284900,280000,279000,274000,269000,265000,265000,265000,269900,271700,269900,268000,249975,249000,249000,249000,249925,254500,249900,249900,249900,249900,247900,240000,229500,239900,239900,269900,289900,289000,289900,282500,289900,290150,285285,285285,285142.5,284900,285142.5,279000,274750,275000,270000,275000,280950,287450,294900,289900,289900,284900,285900,284825,284750,284900,289900,286575,287125,284900,288250,289400,289950,286500,282365.5,282550,282948,283900,289900,289900,284900,279900,273500,279900,273950,271450,272900,272900,274900,279900,289900,289900,286450,294000,289900,292400,3e+05,289950,308600,299000,3e+05,310000,3e+05,315000,3e+05,310000,319250,314500
"Lake View","Chicago","IL","Chicago-Naperville-Elgin","Cook",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989000,989000,1032000,999000,989000,1e+06,999950,1049500,1e+06,949750,899000,899000,892000,944250,927200,989000,995000,992000,988000,964500,975000,949000,979000,964500,979450,989000,1099000,1094500,1099000,1074500,1050000,999950,999900,949000,919900,949000,949000,954000,964450,979000,979000,995000,982450,972450,949950
