"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Tudor City","New York","NY","New York-Newark-Jersey City","New York",422,,,,,,,,,,,,,,3000,3053,2995,3000,3000,3150,3100,3370,3250,3000,3051.5,3295,3095,3072.5,3025,3100,3000,3000,3050,3000,3000,2995,2900,2895,2995,2995,2999,3000,3000,3000,3100,3480,3440,3400,3499,3487.5,3487.5,3400,3325,3300,3350,3497.5,3500,3500,3495,3440,3350,3297.5,3295,3297.5,3400,3400,3450,3450,3415.5,3425,3495,3465,3375,3375,3300,3295,3300,3300,3245.5,3268,3200,3200,3300,3200,3400,3350,3475,3487.5,3480,3500,3465,3350,3400,3425,3400,3440,3350,3000,3000,3210,3072.5,3200,3400,3300,3210
"Playa Del Rey","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4495,4495,4150,3587.5,3475,3500,3500,3500,3972.5,3745,4050,3750,3500,3500,3775,4100,4200,4100
"Battery Park","New York","NY","New York-Newark-Jersey City","New York",424,,,,,,,,,,,,,3175,3200,3450,3400,3625,3795,3897.5,3697.5,3500,3625,3625,3711,3700,3662.5,3675,3875,4000,4200,4200,4250,4200,4200,3800,3650,3695,3695,3650,3850,3750,3800,3825,4000,3895,3657.5,3575,3610,3600,3597.5,3597.5,3897.5,4047.5,4145,4000,4095,3900,3995,3917.5,3942.5,3850,3775,3850,3850,3895,3895,3985,4100,4000,4295,4250,4000,4122.5,3997.5,4250,4047.5,4200,3917.5,4000,4225,4197.5,3995,4047.5,3850,3772.5,3700,3745,3895,4000,4000,4000,4145,4272.5,4095,4250,4200,4200,3900,3800,3917.5,3935,4195,4100,4250
"Kenmore","Boston","MA","Boston-Cambridge-Newton","Suffolk",425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,3021.5,3012,3084,3000,2976,2800,2764,2799,2744,2700,2500,2500,2500,2794,2722,2850,2794,2758,2625,2600,2800,2800,2657,2600,2600,2794,2995,3009.5,2800,2600,2772,2744,2597,2573.5,2600,2700,2800,2839,2995,3044,2900,3000,2800,2800,3015,2744,3000,2781,2900,3100,3096,3040,3100,3100,2937,2918.5,2600,2597,2600,2700,2800,3042,3050,3192,3042.5,3000,2850,2800,2734.5,2657,2650,2875,2918.5
"Central West End","Saint Louis","MO","St. Louis","Saint Louis City",426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1700,1697.5,1700,1697.5,1595,1595,1597,1595,1500,1595,1750,1600,1600,1775,1700,1750,1725,1650,1600
"North Gateway","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",427,,,,,,,,,,,,,,1750,1600,1597.5,1600,1595,1550,1550,1660,1695,1590,1595,1500,1500,1550,1600,1599.5,1585,1512.5,1395,1400,1475,1497.5,1550,1550,1500,1450,1495,1472.5,1450,1397.5,1395,1400,1450,1462.5,1495,1500,1500,1550,1595,1562.5,1650,1590,1500,1500,1495,1524.5,1597,1650,1675,1650,1650,1650,1600,1600,1550,1500,1500,1600,1585,1575,1550,1595,1500,1550,1600,1629,1700,1500,1600,1550,1700,1800,1700,1725,1850,1850,1850,1695,1650,1700,1612,1572.5,1650,1662.5,1650,1795,1750,1697.5,1685,1695,1695
"Grays Ferry","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1025,1100,1100,1000,1000,1100,1000,1000,1075,1100,1075,1000,1047.5,1000,1000,1100,1095,1100,1100,1150,1200,1187,1162.5,1175,1200,1162.5
"Sunset Park","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4750,4500,4495,4650,4195,4425,4600,4500,4250,3997.5,4500,4000,4550,4600,5100,4850,4900,4775,4850
"Alamo Farmsteads-Babcock Road","San Antonio","TX","San Antonio-New Braunfels","Bexar",430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1100,1155,1350,1350,1350,1350,1295,1195,1250,1225,1250,1250,1295,1322.5,1362.5,1370,1350,1375,1350
"South Campus","Baton Rouge","LA","Baton Rouge","East Baton Rouge",431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1425,1350,1400,1350,1275,1250,1300,1350,1300,1200,1200,1200,1400,1400,1375,1325,1200,1200
