"RegionName","City","State","Metro","CountyName","SizeRank","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656467854376452,0.657114624505929,0.657114624505929,0.671487603305785,0.705445544554455,0.723680131600348,0.713661520535974,0.696320447135538,0.688444128916335,0.69909699970871,0.684532478881445,0.732567514256273,0.734435611885724,0.732567514256273,0.732567514256273,0.734927752864973,0.718529062852789,0.734745867007537,0.728155457061413,0.745969313360817,0.756831462309722
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,0.646691097219228,0.661592505854801,0.660311525171756,0.64532782653588,0.707986281234689,0.670595407437513,0.646680647712036,0.689612133904153,0.67054533023821,0.628769491026773,0.632538982053545,0.644996561842552,0.632538982053545,0.632538982053545,0.654744822308318,0.657315731573157,0.660325337744693,0.642054574638844,0.632380238792197,0.632538982053545,0.62396006655574,0.613496932515337,0.616933402168302,0.625809236081139,0.638063806380638,0.604658583280153,0.610453675754697,0.604832464106345,0.603682463024449,0.604658583280153,0.605320524234197,0.623653626024376,0.636414188073857,0.614062020264047,0.62396006655574,0.63536622258714,0.608695652173913,0.622489959839357,0.608695652173913,0.64041906049341,0.620258813029897,0.637148328768636,0.637445657845886,0.62111801242236,0.613496932515337,0.662576687116564,0.648121351210705,0.649350649350649,0.625459657102322,0.641208327388596,0.651416122004357,0.662576687116564,0.665525739856942,0.671406003159558,0.648958647751283,0.687442713107241,0.729075532225139,0.658154060732857,0.734173410732609,0.649965574617018,0.662576687116564,0.62396006655574,0.691937700070938,0.696506550218341,0.657058075455702,0.661865944969217,0.670929799935736,0.716974674880219,0.683735816118708,0.668901843168834,0.669707120334134,0.690177412375595,0.694444444444444,0.710000286084444,0.724418955629339,0.723042496666599,0.706896551724138,0.695163090371689,0.701230697138136,0.703712406015038,0.697603882317258,0.728045259024679,0.75208165457964,0.73642266824085
"Corona Valley","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.797563001938521,0.737560745629941,0.755327758295117,0.747436783900839,0.750827182489183,0.791575208125047,0.793175695899431,0.796389700026546,0.785185185185185,0.766974960523348,0.769830540858263,0.774077708420519,0.807531380753138,0.783673469387755,0.768929000641302,0.79029071408411,0.796596481107586,0.813053132426935,0.812607732085693,0.80907464689927,0.802378184109368,0.814289466771736,0.831008744555023,0.858716785482826
"North Central","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55808615819209,1.36770120988953,1.29461129715629,1.41975308641975,1.31374979518853,1.30401234567901,1.25,1.43266475644699,1.43134240698197,1.6029197080292,1.60897704423593,1.5929203539823,1.41661300708307,1.50797518830306,1.57366352201258,1.41318407960199,1.32611637347767,1.2972972972973,1.44651741293532,1.32377275234418,1.44313637617209
