"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"Weinland Park","OH","Columbus","Franklin","Columbus",4124,1215,-0.00164338537387017,-0.00328137817883511,-0.0380047505938242,872
2018-09-30,"Country Club","CO","Denver-Aurora-Lakewood","Denver","Denver",4125,4393,0.00411428571428571,0.0119788067265607,-0.0700677392040644,1289
2018-09-30,"Kingsway East","MO","St. Louis","Saint Louis City","Saint Louis",4126,767,0.00261437908496732,0.00656167979002625,-0.0241730279898219,1294
2018-09-30,"Framingham","OH","Columbus","Franklin","Columbus",4127,849,0,0,0.00951248513674197,802
2018-09-30,"Southeast Hillsdale","CA","San Francisco-Oakland-Hayward","San Mateo","San Mateo",4128,4199,0,0,-0.0549178483006977,1085
2018-09-30,"Greenspring","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",4129,1192,-0.000838222967309304,-0.00251046025104603,-0.0107883817427386,1136
2018-09-30,"Buena Vista","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",4130,5087,-0.00176609105180534,-0.00313541054281795,-0.0412740294006785,768
2018-09-30,"Sloatsburg","NY","New York-Newark-Jersey City","Rockland","Ramapo",4131,2356,-0.00254022015241321,-0.000424268137462877,0.00683760683760684,1002
2018-09-30,"Chinatown","IL","Chicago-Naperville-Elgin","Cook","Chicago",4132,1639,-0.00243457090687766,-0.00786924939467312,-0.059667240390132,1127
2018-09-30,"Meadows Village","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",4133,1332,0,0.00150375939849624,-0.0118694362017804,623
2018-09-30,"Kirkland","NC","Wilmington","New Hanover","Wilmington",4134,1689,-0.00705467372134039,-0.0128579777907656,0.0629326620516048,833
2018-09-30,"A Mountain","AZ","Tucson","Pima","Tucson",4135,1012,-0.00295566502463054,-0.00881488736532811,0.000989119683481701,707
2018-09-30,"Better Waverly","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",4136,1200,0,0.000834028356964137,-0.0330378726833199,1035
2018-09-30,"Lyons Park","FL","Miami-Fort Lauderdale-West Palm Beach","Broward","Pompano Beach",4137,1743,0.000574052812858783,0,-0.0028604118993135,1522
2018-09-30,"Dodge Flower","AZ","Tucson","Pima","Tucson",4138,855,0,0.0202863961813842,0.114732724902216,974
2018-09-30,"Long View","WI","Milwaukee-Waukesha-West Allis","Milwaukee","Milwaukee",4139,1078,0.000928505106778087,0.000928505106778087,0.0227703984819734,975
2018-09-30,"Naples","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",4140,4259,-0.000234741784037559,-0.00768872320596458,0.0147724565165594,1563
2018-09-30,"Bridle Trails","WA","Seattle-Tacoma-Bellevue","King","Kirkland",4141,3002,0,0.00100033344448149,-0.0568645931511153,869
2018-09-30,"Hodgin","NM","Albuquerque","Bernalillo","Albuquerque",4142,1188,-0.000841042893187553,-0.00168067226890756,0.00168634064080944,1057
2018-09-30,"Lockeland Springs","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",4143,2185,0,-0.000914494741655235,-0.0630360205831904,1561
2018-09-30,"Newton Booth","CA","Sacramento--Roseville--Arden-Arcade","Sacramento","Sacramento",4144,1807,0.00110803324099723,-0.00220872446162341,-0.00768808347062054,886
2018-09-30,"Coquina Key","FL","Tampa-St. Petersburg-Clearwater","Pinellas","Saint Petersburg",4145,1437,0.00209205020920502,0.00419287211740042,0.0566176470588235,2586
2018-09-30,"Orchard Ridge","WI","Madison","Dane","Madison",4146,1641,-0.00303766707168894,0.0012202562538133,0.00305623471882641,956
2018-09-30,"Downtown","LA","Baton Rouge","East Baton Rouge","Baton Rouge",4147,973,0.00102880658436214,-0.00205128205128205,-0.0451422963689892,1570
2018-09-30,"Heather Gardens","CO","Denver-Aurora-Lakewood","Arapahoe","Aurora",4148,1576,-0.00379266750948167,-0.0106716886377903,-0.0277606415792721,3255
2018-09-30,"Honey Creek Manor","WI","Milwaukee-Waukesha-West Allis","Milwaukee","Milwaukee",4149,1114,-0.00889679715302491,-0.0150309460654288,-0.0638655462184874,945
2018-09-30,"East Meyer 6","MO","Kansas City","Jackson","Kansas City",4150,790,0,0,-0.0389294403892944,1105
2018-09-30,"South Rose Hill","WA","Seattle-Tacoma-Bellevue","King","Kirkland",4151,2584,-0.000773395204949729,-0.00231660231660232,-0.0603636363636364,1387
2018-09-30,"Live Oaks Square","FL","Tampa-St. Petersburg-Clearwater","Hillsborough","Tampa",4152,1165,-0.00171379605826907,-0.00512382578992314,0.0139251523063534,822
2018-09-30,"Tahoe Park","CA","Sacramento--Roseville--Arden-Arcade","Sacramento","Sacramento",4153,1656,0,-0.00180831826401447,0.0222222222222222,1903
2018-09-30,"Lake Success","NY","New York-Newark-Jersey City","Nassau","Great Neck",4154,5803,-0.00189198486412109,-0.00565455791638108,-0.0924304035032843,839
2018-09-30,"Browns Mill Park","GA","Atlanta-Sandy Springs-Roswell","Fulton","Atlanta",4155,1103,0.00363967242948135,0.0128558310376492,0.0337394564198688,750
2018-09-30,"Forest Manor","IN","Indianapolis-Carmel-Anderson","Marion","Indianapolis",4156,751,-0.00397877984084881,-0.00923482849604222,-0.0144356955380577,1201
2018-09-30,"Harding","CA","Sacramento--Roseville--Arden-Arcade","Placer","Roseville",4157,1435,-0.00139178844815588,-0.00208623087621697,0.0505124450951684,908
2018-09-30,"MLK Park","NY","Buffalo-Cheektowaga-Niagara Falls","Erie","Buffalo",4158,750,0,0,0.0204081632653061,989
2018-09-30,"Noralto","CA","Sacramento--Roseville--Arden-Arcade","Sacramento","Sacramento",4159,1360,0,0.00221075902726603,0.0202550637659415,757
2018-09-30,"Plaza-Shamrock","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",4160,1183,0.00509770603228547,0.0198275862068966,0.0215889464594128,1342
2018-09-30,"Parkwood Ranch","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Mesa",4161,1350,-0.00074019245003701,-0.003690036900369,0.00148367952522255,1415
2018-09-30,"Gardenland","CA","Sacramento--Roseville--Arden-Arcade","Sacramento","Sacramento",4162,1487,0.000672947510094213,0.00202156334231806,0.0269337016574586,853
2018-09-30,"Richmond Heights","FL","Orlando-Kissimmee-Sanford","Orange","Orlando",4163,1141,0,0.00087719298245614,0.0410583941605839,1213
2018-09-30,"Westmont","AL","Mobile","Mobile","Mobile",4164,898,0,0,-0.0416221985058698,800
2018-09-30,"Otay Mesa","CA","San Diego-Carlsbad","San Diego","San Diego",4165,2744,0.00109449106165633,0.00549651887138146,0.035081101471143,520
2018-09-30,"Lake Ridge","FL","Miami-Fort Lauderdale-West Palm Beach","Broward","Fort Lauderdale",4166,1799,-0.00332409972299169,-0.0153256704980843,-0.00497787610619469,1083
2018-09-30,"Five Points","MI","Detroit-Warren-Dearborn","Wayne","Detroit",4167,790,0,0,0.0154241645244216,1056
2018-09-30,"New Dorp Beach","NY","New York-Newark-Jersey City","Richmond","New York",4168,2159,0,-0.00138760407030527,0.00512104283054004,1298
2018-09-30,"Esther Short","WA","Portland-Vancouver-Hillsboro","Clark","Vancouver",4169,1406,0,-0.000710732054015636,0.00285306704707561,581
2018-09-30,"Ocean Grove","NJ","New York-Newark-Jersey City","Monmouth","Neptune",4170,2075,-0.00527325023969319,-0.0076518412242946,-0.0198393953708077,2180
2018-09-30,"Wayland","RI","Providence-Warwick","Providence","Providence",4171,1963,0.00101988781234064,0.0061506919528447,0.0833333333333333,1103
2018-09-30,"Southeast Bend","OR","Bend-Redmond","Deschutes","Bend",4172,1799,0,0,-0.0693222969477496,1155
2018-09-30,"Hope","RI","Providence-Warwick","Providence","Providence",4173,1719,0.00408878504672897,0.00233236151603499,-0.0358945597307908,1232
2018-09-30,"Clearview","PA","Philadelphia-Camden-Wilmington","Philadelphia","Philadelphia",4174,1141,0,0.00087719298245614,-0.00696257615317668,1065
2018-09-30,"Forest Park Southeast","MO","St. Louis","Saint Louis City","Saint Louis",4175,889,0,-0.00112359550561798,-0.118929633300297,1183
2018-09-30,"Central City-Liberty Wells","UT","Salt Lake City","Salt Lake","Salt Lake City",4176,1394,0.000717875089734386,0.00215672178289001,0.0101449275362319,1187
2018-09-30,"Fairway Bend","TX","Dallas-Fort Worth-Arlington","Tarrant","Fort Worth",4177,1975,-0.00202122283981809,-0.00353178607467205,-0.0304369170348552,612
2018-09-30,"McKinley","NM","Albuquerque","Bernalillo","Albuquerque",4178,1099,0,0,-0.00632911392405063,1003
2018-09-30,"Los Jardines","TX","San Antonio-New Braunfels","Bexar","San Antonio",4179,956,0.00209643605870021,0.00631578947368421,0.0323974082073434,897
2018-09-30,"Southeast","MT","Helena","Lewis and Clark","Helena",4180,1243,0,0.000805152979066023,-0.00160642570281125,1831
2018-09-30,"28 Palms","CA","San Francisco-Oakland-Hayward","Alameda","Fremont",4181,2993,0,-0.000334001336005344,-0.0173998686802364,959
2018-09-30,"Garfield Heights","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",4182,1698,0.000589275191514437,0.00413956238911887,0.0794659885568977,574
2018-09-30,"Harrison East-South","AZ","Tucson","Pima","Tucson",4183,1143,0,0.000875656742556918,0,1463
2018-09-30,"Summerhill","GA","Atlanta-Sandy Springs-Roswell","Fulton","Atlanta",4184,1684,0.0005941770647653,-0.0023696682464455,-0.012316715542522,746
2018-09-30,"Acton","IN","Indianapolis-Carmel-Anderson","Marion","Indianapolis",4185,1189,0,-0.00167926112510495,-0.0356853203568532,1242
2018-09-30,"Penrose-Fayette Street Outreach","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",4186,1100,-0.00181488203266788,-0.0125673249551167,-0.0426457789382071,1533
2018-09-30,"Moncrief Park","FL","Jacksonville","Duval","Jacksonville",4187,769,0.00130208333333333,0.00260756192959583,0.0336021505376344,1301
2018-09-30,"Capitol View-Stifft Station","AR","Little Rock-North Little Rock-Conway","Pulaski","Little Rock",4188,870,0,-0.00571428571428571,-0.0842105263157895,1385
2018-09-30,"Canyon Heights","CA","San Francisco-Oakland-Hayward","Alameda","Fremont",4189,3237,-0.000308832612723904,-0.00277264325323475,-0.0161094224924012,960
2018-09-30,"Tierra Oeste","NM","Albuquerque","Bernalillo","Albuquerque",4190,1290,0.000775795190069822,0.000775795190069822,-0.00462962962962963,1082
2018-09-30,"Wendover-Sedgewood","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",4191,2959,-0.00470904809956273,-0.023754536456615,-0.0839009287925697,969
2018-09-30,"Bryant","MN","Minneapolis-St. Paul-Bloomington","Hennepin","Minneapolis",4192,1593,-0.000627352572145546,-0.000627352572145546,0.00950570342205323,886
2018-09-30,"Bennington","WA","Portland-Vancouver-Hillsboro","Clark","Vancouver",4193,1928,-0.0020703933747412,-0.00361757105943152,-0.04648862512364,576
2018-09-30,"Idlewood","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",4194,1354,-0.00587371512481645,-0.0188405797101449,0.00744047619047619,995
2018-09-30,"Rickarby","AL","Mobile","Mobile","Mobile",4195,749,0,0,-0.0421994884910486,1437
2018-09-30,"Tempe Royal Estates","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Tempe",4196,1435,0.000697350069735007,-0.000696378830083565,-0.00277970813064628,792
2018-09-30,"Lake Shore-Lake Vista","LA","New Orleans-Metairie","Orleans","New Orleans",4197,2287,-0.00521966072205307,-0.0142241379310345,-0.0446950710108605,1517
2018-09-30,"Winston Park","FL","Tampa-St. Petersburg-Clearwater","Pinellas","Saint Petersburg",4198,1099,0,0,-0.00181653042688465,1443
2018-09-30,"Ellwood Park-Monument","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",4199,1163,0,0.00431778929188256,0.00779896013864818,1333
2018-09-30,"Albright","NY","Buffalo-Cheektowaga-Niagara Falls","Erie","Buffalo",4200,1739,0.00172811059907834,-0.0051487414187643,-0.06,780
2018-09-30,"Morningside","PA","Pittsburgh","Allegheny","Pittsburgh",4201,1199,0,0,-0.0840336134453782,1392
2018-09-30,"Wilshire Village","TX","San Antonio-New Braunfels","Bexar","San Antonio",4202,1242,0,0.00323101777059774,-0.00240963855421687,753
2018-09-30,"Sedgefield","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",4203,1446,-0.000691085003455425,-0.00481761871988988,-0.00344589937973811,1388
2018-09-30,"Indian Springs","OH","Columbus","Franklin","Columbus",4204,1700,0,-0.000587889476778366,-0.0235496840896037,1179
2018-09-30,"Vine City","GA","Atlanta-Sandy Springs-Roswell","Fulton","Atlanta",4205,1125,-0.00177462289263532,-0.00706090026478376,0.016260162601626,876
2018-09-30,"Rolling Acres","AL","Mobile","Mobile","Mobile",4206,1193,0.000838926174496644,0.00167926112510495,0.028448275862069,1320
2018-09-30,"Southern Crossing","OR","Bend-Redmond","Deschutes","Bend",4207,1688,-0.00118343195266272,-0.00236406619385343,-0.00588928150765607,1230
2018-09-30,"Wilbur I","NJ","Trenton","Mercer","Trenton",4208,1199,-0.00166527893422148,-0.00415282392026578,-0.0322841000807102,1222
2018-09-30,"Golf Course Terrace","CA","Sacramento--Roseville--Arden-Arcade","Sacramento","Sacramento",4209,1537,0,0,0.0253502334889927,1521
2018-09-30,"Eldorado Heights","NM","Albuquerque","Bernalillo","Albuquerque",4210,1304,0,0.00230591852421214,0.00694980694980695,727
2018-09-30,"Morris Heights","CO","Denver-Aurora-Lakewood","Arapahoe","Aurora",4211,1786,0.00112107623318386,0.00619718309859155,0.028209556706966,933
2018-09-30,"Garden Homes","WI","Milwaukee-Waukesha-West Allis","Milwaukee","Milwaukee",4212,874,0,0,0.0139211136890951,671
