"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Sarasota Springs","Sarasota","FL","North Port-Sarasota-Bradenton","Sarasota",307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000,134950,140000,129900,134900,143750,140000,135000,138950,138950,137250,142450,140000,146950,140000,144950,154827.5,158950,153850,156850,139900,139900,137400,149987,147900,163300,176200,176250,164100,152748.5,164100
"O'Hare","Chicago","IL","Chicago-Naperville-Elgin","Cook",308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128400,128900,126200,124900,129900,129900,129900,129900,129900,129900,129900,129900,134900,139000,134900,129900,138250,133950,139900,139950
"North Hill","Akron","OH","Akron","Summit",309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49900,49900,44900,42900,45000,44900,39949.5,39999,39949.5,44700,47900,49900,47750,47500,45000,44900,45000,45000,46400,49900,49900,49400,50000,49900,49900,49950,50000,49900,50000,50999.5,49200,45900,45900,45900,49900,55000,59900,59700,55900,55000,54900,52325,54900,56000,56733,54900,54900,57000,58500,59900,59900
"Capitol Hill","Denver","CO","Denver-Aurora-Lakewood","Denver",310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244500,235000,222450,227499.5,245000,249900,248000,245000,267000,257500,249750,249900,240000,236250,241250,250000,259825
"South Campus","Baton Rouge","LA","Baton Rouge","East Baton Rouge",311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79200,81200,86000,78500,74500,79250,79250,90500,84900,93000,87700,87700,87500,87500,87700,87900
"North Shore","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",312,83500,81000,81000,80000,79500,76500,75000,74600,74900,79000,74000,79000,70000,69000,70000,69000,70000,69450,72500,70000,75000,73130,70000,70000,69900,69900,70000,70000,65000,65275,65000,75000,78750,76450,75000,75000,75000,82200,75000,85000,85000,85625,89250,85000,85000,87000,99000,98000,99995,103000,1e+05,99995,99900,99900,99900,115000,119500,120000,119900,120000,119950,119900,103500,92900,108000,110000,1e+05,108000,1e+05,114000,124983.5,119750,119750,125000,128000,128000,129000,134999.5,135000,139000,137000,145000,149250,149500,149500,149949.5,149900,147445,150000,150000,156000,152000,153239,150000,149500,149900,155000,158900,151000,150000,149500,155500,159000,155250,159000
"Hyde Park","Scranton","PA","Scranton--Wilkes-Barre--Hazleton","Lackawanna",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,45000,45000,45000,44900,42500,44900,44900,45000,45000,47450,54950,49900,52250,49999,49950
"Elmwood","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",314,74900,69900,69999,69900,66500,69000,68500,69000,70000,69000,69900,69000,69900,69949.5,69900,70950,70000,69250,69450,69900,68750,66950,68000,68000,68875,69000,69900,69900,69000,69450,65000,64950,64900,60000,62900,61250,62500,64900,65000,65000,65000,65000,60000,60950,59999,55000,54900,56250,58200,64900,62000,52990,54900,60950,59950,65250,65250,68500,69400,68499.5,62450,67000,67000,69400,64000,65000,67900,66000,66900,68000,69800,68000,70000,73000,73450,70000,68450,69000,69000,65000,65000,74900,73450,60500,65000,69900,69900,69900,74900,70000,75000,64950,60000,60500,69900,70000,72000,75000,73950,75000,75000,70000,74900,74945,74995
"South Broadway","Cleveland","OH","Cleveland-Elyria","Cuyahoga",315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000,35000,35000,33700,32250,32000,31950,29500,29450,28500,32250,36750,34900,34949.5,34900,34900,32500,33000,35000,38500,39000,34900,34450,32500,35000,34900,34900,34700,31500,34900,34800,34500,34700,36000,36950,37900,37900,39950,36450
"West Akron","Akron","OH","Akron","Summit",316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,39000,39900,34900,34900,36450,35000,35000,39000,37450,38500,39900,39900,37400,37700,38450,39000,41900
