"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Reseda","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",77,376200,379450,380000,379000,379000,375000,375000,377000,375000,369000,374900,372400,365000,364975,368950,359725,359950,368000,359900,350000,359000,355000,349999,349000,346500,349000,339990,349000,349900,349900,350000,350000,359000,369450,369000,370000,375000,387900,389450,389000,399000,419450,419450,415000,419000,429000,429000,422425,429475,432250,429950,442450,447000,449450,449900,460000,464500,450000,449999,459000,459000,459000,469975,499000,499950,499000,495000,495000,5e+05,499975,499800,499900,505000,519000,515999.5,510000,5e+05,509000,504000,518900,522499.5,514995,529000,530000,539950,549900,550000,549999,552500,569000,577000,585000,582450,585000,599950,599999,599980,599980,629250,619999,625000,619999,619700,615750,624999.5
"Central Southwest","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",78,137990,137495,135501,134945,136000,134900,136000,136000,138329,135997.5,136042.5,136374,133995,133430,129995,129995,129995,129000,130870,134990,137250,139990,138690,137990,137990,135995,135995,137870,135495,135990,136945,136675,134500,136225,136475,135500,131995,136865,139249,139070,139424,139140,136357,136714,139970,142467,139150,139515,137883.5,140445,139900,143040,141995,145000,148467,150336,152002.5,149950,149950,152485.5,149970,150000,153900,159717,159717,159900,159900,156995,159500,163170,163768.5,160000,155999,155000,169000,165000,165000,180000,187450,185000,189500,201490,179900,179999.5,210790,207490,194745,189999,193490,202945,199900,209495,209990,219900,220000,205745,203495,199900,207990,209990,207745,209500,204445,209990,211990
"West Rogers Park","Chicago","IL","Chicago-Naperville-Elgin","Cook",79,199900,204500,199900,199900,199450,199900,199900,199000,199000,189000,188000,197950,197950,193500,180000,180000,185000,180000,179500,177000,179000,174900,176900,173000,169900,169900,167000,160000,165000,167450,169000,165000,164400,165000,166000,165000,165000,159949.5,162000,162000,165000,169000,164944,165000,169950,170000,169950,170900,175000,178900,178900,174900,189900,184450,189900,189000,189000,179000,169900,179900,194900,188900,189900,198500,199900,202450,219000,207000,206000,199900,197800,189900,199900,198300,189000,189000,190000,199000,205000,199950,199900,209950,205000,206500,206000,215000,210000,210000,219950,219900,212000,211250,210000,214900,215000,215000,219900,221950,219900,224450,226325,222400,220000,224900,223000
"South Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk",80,315000,327000,324000,329000,314950,325000,325000,322450,329000,329000,325000,309000,299000,299000,299000,305000,320950,319450,327000,323700,324000,329000,319900,307500,319000,329000,329900,319000,330000,345000,339000,339000,317000,329500,339450,329000,325000,325000,339900,349900,359000,329900,352000,354000,349000,347000,352500,360000,350000,359900,349000,349900,349900,359000,369900,379900,359450,374900,385000,379000,375000,374950,379000,382450,387000,387000,399000,399000,389000,379000,376000,379000,387450,389900,404450,422000,419000,419000,435000,427450,439900,440000,430000,449000,449900,425000,429000,434450,429000,399950,4e+05,422450,444450,457500,449900,437000,445000,470000,489000,475000,489000,487000,493500,499000,519499.5
"Hickory Ridge-South Riverdale","Memphis","TN","Memphis","Shelby",81,99900,99900,99500,99900,98900,99700,99250,97950,96900,97248,97303,95000,90000,92000,91950,90000,93200,95000,92000,94606,89838.5,88215,85000,88015,85000,85000,87900,84886.5,84886.5,84900,84900,84900,79975,84900,81900,84900,83900,82658.5,83317,84900,86000,87743,85000,86821.5,88000,88000,88300,89900,89000,89900,89900,89999,89949.5,89900,89900,90000,90300,89900,87000,87250,89000,89900,93188.5,95000,94500,95500,95000,89900,93500,91450,91500,89900,89900,89900,89950,89900,89900,90000,90000,94900,99000,98250,100700,99250,99900,99700,104950,104900,105130,105130,107700,109700,110000,109900,109500,109900,110000,105900,107450,110000,119500,124900,125000,121700,120000
"South Belt - Ellington","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",82,136990,135000,133500,132900,131750,130000,129022,129500,135000,137000,139000,136000,135900,136800,135095,134450,133120,134990,134900,134990,134900,135267,135945,135945,135900,131990,131990,132990,135995,132138,134500,135000,135900,142990,140161,140000,137929,135000,135000,134900,139000,139111,139272,139897,140000,140000,139754.5,135950,139304.5,144450,144900,148000,140000,144900,145400,145442.5,146042.5,149900,149900,155000,155000,155499,158450,159900,159950,165000,169900,169900,166950,170000,172900,176000,177950,192990,189000,179900,179250,179000,180000,184900,189900,188950,190000,189990,185900,188450,185900,186500,187950,189250,188450,189500,189994.5,188950,189945,195000,197500,185000,185000,185000,189450,190000,190000,189900,189900
"Jackson Heights","New York","NY","New York-Newark-Jersey City","Queens",83,,,369000,369000,367000,364999,359000,364999.5,365000,350000,349000,349000,349500,343000,341000,343000,340000,335000,329000,329000,329000,329000,327000,329500,330000,330000,329000,335000,329000,348000,345000,349000,349000,349000,330000,329000,329788,328000,328500,335000,332394,329788,325000,308000,308000,329000,345000,349000,358888,349000,349000,349000,349999,329000,363500,349000,349000,361000,369000,369330,375000,360000,363500,350000,375000,378000,378000,379000,379000,379000,378500,378777,364500,370000,360000,375000,389000,390000,395000,396500,395000,390000,380000,380000,389000,376500,380000,375000,395000,392148.5,419000,399000,399000,394500,389000,388450,399000,402000,425000,428750,429000,439000,439000,439500,429000
"Greater Fondren Southwest","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",84,135000,138500,137500,134947.5,138000,142500,138250,139000,139900,135000,135000,139900,136500,132250,132000,132000,132000,132000,129900,129900,129900,129900,129250,129900,130000,135000,133450,130000,130000,133000,129950,128950,130000,135000,129900,135000,138250,137500,139250,138000,141700,138850,140000,149900,150000,157625,150000,150000,146900,140950,139900,139900,140950,142450,144900,149000,149000,149000,149000,149000,149900,149900,159900,169000,168500,169000,170000,174950,179900,179900,177000,189999,175500,180000,191000,184750,179900,179900,180000,179900,173700,178500,184950,183475,188500,193750,195000,195000,195500,190000,179900,184950,191500,190000,190000,190000,189900,190000,195000,198250,205000,207000,210000,209999,201500
"Clear Lake","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",85,152000,154900,159000,159900,159500,157900,154900,154250,149999,149999.5,149900,149900,148500,148400,145000,146750,146500,144725,144900,144900,144900,145000,147900,144800,143650,144900,144900,145000,144900,144900,145250,149250,148900,149900,149900,149900,148000,149900,152250,150000,150000,150000,150000,155000,158950,159900,158900,153950,159900,159448,159896,161900,159900,165000,159900,162250,165000,160000,160000,162250,159900,159900,165000,169900,170950,173100,174900,189900,185450,184950,199900,199749.5,190000,195000,204900,209800,209900,209950,206000,199900,205000,209900,209000,209900,215000,210000,209900,215000,215000,210950,215000,217000,219000,219900,219500,219000,220000,220000,220000,225000,225000,225000,224000,222000,220960
"Northeast Raleigh","Raleigh","NC","Raleigh","Wake",86,189900,189700,189900,185000,185000,185250,187500,185000,185000,184950,184900,184900,188000,187750,184500,185000,184250,185000,184990,185990,185000,185995,184700,179900,179900,179900,179900,179900,179900,179900,179900,183200,187906.5,186250,185000,185000,189000,189900,189900,192990,197233,197750,2e+05,2e+05,203495,199500,199000,199500,199650,195000,195000,197500,197000,198000,2e+05,2e+05,202500,207990,2e+05,199945,205450,208945,206495,201450,207400,208950,214000,212990,214800,215950,219450,217449.5,219000,216999,215000,220000,224950,224900,224250,225000,228400,234900,235000,239900,236750,230000,234900,234900,240000,240000,237000,240000,238250,238900,235000,239900,245000,244900,245495,248250,248250,247500,249900,249995,245000
"Princess Anne","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",87,246900,244900,244700,240000,239900,239000,235000,234900,229900,234900,230000,232500,229000,229000,228900,225000,225000,222000,219950,220000,220000,219900,219900,219900,219900,220000,219900,217600,219900,219900,225000,224700,215000,215000,214900,212450,217400,219250,225000,229900,229950,231000,230000,225900,230000,229900,229900,229450,229900,229900,229000,229500,225000,225000,225000,224650,229700,229900,224900,224900,224850,225000,230000,230000,228950,229406.5,235000,236000,235000,239450,239900,239900,239900,239900,239900,240000,245000,245000,243900,245000,244900,244700,244900,247900,247900,243800,245000,245000,245000,245000,244450,244900,245000,250000,249450,246000,244900,249900,250000,250000,250000,257450,254950,250000,254900
"Southeast Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229000,230500,228000,235828.5,241000,250000,275000,247000,259500,249950,259000,254500,249900,255500,255000,256000,259900,259000,259900,260000
"Brentwood","Islip","NY","New York-Newark-Jersey City","Suffolk",89,349000,347500,343000,339990,339000,339990,344000,349000,346250,329000,325000,325000,322249.5,325000,319000,309000,309500,3e+05,309000,3e+05,309000,307000,3e+05,299999,299990,299999.5,299999,299990,299994.5,309977,348999,339990,350000,350000,349500,350000,320000,319900,329000,319450,319000,319000,309999.5,304000,309000,299990,299990,3e+05,309000,309977,309977,309488.5,309000,309990,299999.5,308000,309999.5,315000,315000,315000,309990,317000,319990,320000,319900,319900,325000,329000,329000,329999.5,329000,329000,329000,329000,329000,320000,329000,329000,346292.5,350000,349000,345000,339990,347450,349000,349000,345000,349900,349000,349000,347000,349999,359999,359900,359450,367000,359999.5,362500,369000,369000,369000,379900,375000,370000,370000
"Midtown","Memphis","TN","Memphis","Shelby",90,126900,129300,129900,129900,129900,129900,129900,129900,129000,125000,124950,124950,124500,123500,120000,120000,116350,119900,119500,115000,114900,114900,110000,109900,114900,114900,114900,115000,115000,117500,119000,120000,119900,119900,118000,119200,119900,120000,124900,119900,114500,117000,119999,117999,117000,115000,117900,118500,114900,114900,115000,114995,119600,124200,126750,129900,130000,129900,125000,128200,125000,124900,124999,122800,121250,124250,121250,114750,115000,119900,119900,119700,119950,123200,125000,124000,124500,129900,129900,122450,122500,127500,124900,119000,124950,144900,134385,134950,143900,137900,139900,139900,139000,139900,145900,139900,149900,149000,150000,149999,150000,159900,149999.5,150000,159925
"East Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",91,189900,191750,189900,187900,187000,189900,192950,189900,189900,189900,189900,189900,185000,183500,179900,179900,179950,179950,179900,180088,180000,180000,179900,180000,182000,184900,184700,184925,182250,179900,184900,185000,189745,189900,189000,189900,189822.5,189900,192500,194900,195000,190950,191900,195000,192250,194900,193900,195000,190000,195000,192500,192000,195000,198000,195000,199900,2e+05,199900,199900,199900,205750,209900,210000,216500,214450,219000,220000,215000,215000,224250,225000,224900,224900,223500,224900,225000,232500,229950,230000,229900,230000,229900,230000,235000,238000,239450,241950,242250,249900,250000,250000,249950,255000,259900,259999,260000,265000,265000,282450,275000,285000,279450,279900,279900,279999
"Northeast Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",92,200900,199900,199925,199695,197500,199500,199900,199900,199900,198250,199000,195000,195000,194900,195000,195000,194400,193700,192250,195000,195250,193000,189900,188344,189999,199000,196900,195000,195000,195500,195000,191000,195000,194900,196000,197950,199000,199900,203000,205000,204000,203475,204900,207749.5,210000,209000,214950,214000,215000,214900,212500,212500,214700,214900,217500,212900,210000,209450,209900,210000,214700,215000,214900,216500,220000,220000,223000,224900,224900,229400,225000,225000,224900,229900,234900,235000,235000,230000,236500,245000,249900,249450,246250,245000,250000,249900,250000,254900,250000,258000,261900,265000,267450,269000,269022.5,265000,275000,270000,287500,285000,281725,289900,289900,289900,295000
"Kingwood","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",93,149000,149500,150000,150000,152500,151156,150000,149941,149900,149000,146495,146900,145000,144000,142945,144900,146495,146745,148000,144995,145500,149900,147500,144900,144945,142990,143945,144900,145450,148129,147000,147000,144945,143900,143000,140000,140000,140000,149900,154450,155000,155950,149900,153500,153700,159700,158950,156142.5,152200,154900,159900,159900,161450,162950,169000,165000,164900,169900,169900,171000,169900,173900,169675,179500,179000,179000,181450,177000,185000,189500,199000,209900,199900,195000,194700,194950,194900,199850,2e+05,199900,199850,199900,199500,195000,199900,203432,2e+05,209950,215000,215000,217000,212500,212000,209999,216400,215950,214900,215000,219900,224900,224900,225000,224900,225000,229900
"Central Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",94,189000,189000,189900,194950,194000,194000,190000,190950,195000,189900,194500,190000,189900,189900,189000,189450,189450,189900,189900,189450,187000,184900,184900,184900,179900,179900,184900,189000,189900,194950,189949.5,189900,189900,189900,189900,196000,199500,193750,197250,192900,199900,198000,194950,195000,198250,199925,199900,199900,2e+05,199900,199450,199900,199000,195000,2e+05,214950,219900,215000,219900,219950,219900,224900,220000,224450,222000,219900,219900,224900,225000,229900,227497.5,229200,229900,239700,232450,234950,239900,240000,239900,249000,252995,254900,247247.5,246495,247372.5,249997.5,251070,257500,255000,260000,258447.5,260000,269900,271000,269900,271000,279000,280000,279450,299900,299900,287000,280000,287000,294900
