"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Summerlin South","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",167,,,,,,,,,,,,,,,,1750,1800,1697.5,1725,1695,1697.5,1600,1600,1600,1500,1550,1562.5,1595,1600,1595,1500,1595,1500,1500,1500,1550,1500,1575,1575,1595,1575,1650,1625,1685,1550,1595,1600,1650,1700,1650,1650,1600,1600,1650,1625,1669,1650,1700,1747.5,1697,1600,1700,1795,1800,1850,1800,1725,1800,1750,1795,1800,1800,1800,1800,1850,1750,1895,1795,1700,1850,1900,1850,1850,1850,1890,1895,1950,1937.5,1872.5,1850,1895,1850,1850,1850,1800,1850,1897.5,1900,1930,1950,1955,1995,2000,1995
"Cobbs Creek","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,912.5,912.5,1000,1000,1000,1000,1000,950,950,1000,1000,1087.5,1050,1000,1000,1050,1100,1100,1100,1100,1150,1100,1100,1100,1100,1100,1100,1200,1195,1150,1150,1100,1175,1100,1125,1150
"Del Rey","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,4000,4550,4325,4325,4175,3950,4050,4097.5,4375,4300,4450,4425,4225
"M Streets","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.5,2485,2400,2400,2499,2400,2300,2295,2300,2295,2221.5,2300,2350,2265,2139,2300,2350,2269,2195,2150
"Hollywood Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8005,8500,8850,9500,8500,8750,8874.5,8950,9950,10000,10000,10500,9975,9000,10000,10000,9995,10000,9500,9997.5,10000,10990,10900,11500,9725,8975,8500,8900,9997.5,10975,10000,8750,9637.5,9750,9872.5,9992.5,9500,9125,9950,9850,9500,10000,10450,9500,10000,10000,11500,11625,11849.5,11750,10997.5,10000
"Shelby Forest-Frayser","Memphis","TN","Memphis","Shelby",172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,650,600,637.5,650,650,650,660,675,695,695,675,675,675,675,650,650,650,650,675,675,675,675,675,685,675,675,675,675,675,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,675,675,675,650,675,650,650,650,650,675,650,675,650,675,667.5,650,650,650,675,675,675,675,665,675,675,675,695,675,685,675
"Whitney","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",173,,,,,,,,,,,,,,,1095,1095,1100,1100,1075,1050,1045,995,995,999,995,995,995,997,1000,995,975,995,995,1000,995,997,1000,1050,1025,1000,995,1000,1035,1015,995,1000,1000,1050,1045,1045,1025,1050,1045,1050,1050,1045,1000,1000,1050,1050,1050,1095,1095,1097.5,1100,1100,1100,1097.5,1050,1032.5,1000,1050,1095,1125,1100,1150,1150,1150,1095,1095,1122,1150,1050,1150,1150,1150,1195,1195,1200,1200,1200,1199.5,1200,1200,1250,1250,1250,1200,1247.5,1250,1250,1250,1260,1297.5
"Fort Bend - Houston","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1247.5,1295,1250,1250,1272,1250,1295,1300,1295,1300,1300,1300,1300,1345,1345,1350,1350,1345,1325,1300
"Corona Valley","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside",175,,,,,,,,,,,,,,2497,2400,2395,2400,2450,2400,2350,2350,2350,2300,2400,2395,2400,2400,2350,2350,2375,2350,2350,2375,2400,2395,2350,2350,2300,2300,2337.5,2350,2350,2362.5,2375,2387.5,2325,2300,2350,2380,2360,2395,2380,2400,2400,2400,2400,2370,2350,2423,2400,2400,2480,2450,2500,2500,2500,2500,2475,2450,2500,2500,2500,2450,2495,2500,2500,2550,2525,2500,2490,2500,2500,2575,2500,2562.5,2650,2690,2650,2625,2650,2695,2600,2700,2600,2600,2600,2600,2650,2670,2700,2700,2700,2700,2700
"Berclair-Highland Heights","Memphis","TN","Memphis","Shelby",176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,750,695,675,662.5,662.5,675,650,675,712.5,712.5,685,675,685,695,675,675,675,695,650,650,675,675,650,650,675,675,650,650,675,650,650,650,675,650,650,650,662.5,650,675,695,750,685,675,650,650,712.5,675,625,685,675,675,675,675,650,650,675,695,675,675,675,650,675,695,725,695,675,650,675,695
"Venice","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,6400,6000,6395,6395,6500,6422.5,6275,6100,5500,5722.5,6447.5,6800,6875,7340,7500,6910,6600,6395,6825,5900,6500,6000,6475,6500,6500,6900,6900,6825,7500,7800,6700,6725,6500,6500,6900,6700,7000,7000,6900,6990,6500,6950,6500
"Mears Corner","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",178,,,,,,,,,,,,,1450,1450,1495,1565,1595,1475,1550,1500,1497.5,1475,1462.5,1475,1397.5,1462.5,1500,1500,1500,1575,1595,1550,1485,1475,1497.5,1500,1450,1495,1500,1495,1500,1550,1500,1495,1500,1500,1475,1475,1500,1495,1500,1550,1495,1500,1500,1500,1500,1495,1495,1500,1500,1500,1497,1495,1475,1495,1495,1450,1395,1485,1397.5,1495,1500,1500,1550,1595,1500,1545,1495,1550,1447.5,1497.5,1447.5,1495,1425,1462.5,1500,1475,1500,1550,1495,1500,1497.5,1450,1500,1500,1500,1500,1500,1572.5,1550,1500,1500,1500
