"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"South Chicago","Chicago","IL","Chicago-Naperville-Elgin","Cook",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000,100500,101000,99450,101000,107450,105500,119900,109000,109000,100450,109750,118000,118950,109750,119900,119900,119900,125000,141950,139950,130000,128000,130000
"Greenbrier East","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",60,498500,499000,489500,489000,484475,484475,495000,495000,529000,486450,483900,492500,491750,479000,471950,450000,469450,469450,469000,459000,450185,439950,390950,390000,391900,394900,385400,391900,428925,429412.5,449990,452500,433912.5,408450,438900,469000,459990,440870,448200,416900,454995,437427.5,430832.5,439900,428000,435725,428950,449500,448812.5,444740,412900,412900,412900,414900,412900,412900,404400,401900,409900,403900,399900,401233,404150,408150,410288,415990,410288,409844,409400,409400,418650,419945,417900,422572.5,417900,419062.5,419062.5,419900,417162.5,418862.5,434900,429240,429965,425900,434900,428340,422985,425900,437500,442900,442900,439900,436505,437500,437500,434970,434900,437500,437900,439900,444900,447400,455000,450587,462825
"Great Bridge","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",61,465450,467950,466000,459900,456900,462700,479450,476388.5,481900,479900,480900,479838.5,469900,469900,464900,449950,444450,429900,426400,422900,422900,425000,399700,407450,411900,414900,403900,405400,404650,419900,422900,419900,405262.5,409900,405450,399900,404900,428700,420000,429900,441500,441950,439900,429950,425000,417950,412745,408150,404400,412322.5,399900,391900,396950,403900,395000,409250,402900,436000,439900,444900,444900,439900,439644,450662,453330,453330,459900,452585,459900,454900,459225,458530,454900,444737,449950,444737,454956,449900,452777,444148.5,439800,446777,445369,469193.5,467381,459800,449000,445900,447990,459800,449900,449000,449000,453450,458450,459000,457900,449900,459000,459000,459800,459800,459800,459800,467000
"Westgate","Henderson","NV","Las Vegas-Henderson-Paradise","Clark",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444950,422000,446200,457495,514900,558000,485000,507500,490000,538000,535000,494999.5,492499.5,490000,495000,489000,492400,510000,549900,535000,599000,529000,520000,520000,562500,574500,549000,529950,534888,562500,547000,550000,561950,549000,564000,550000,525000,519500,532450,530000,529945,575000,652990,652990,646445,577000,580990,601490,630000,630000,6e+05,626894,609950,639400,599990
"Elkhorn","Omaha","NE","Omaha-Council Bluffs","Douglas",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e+05,499500,450000,450000,422750,424900,420600,422900,425000,426338,439000,451315,466000,462000,463000,461000,461000,462000,467950,477945,477945,476598.5,463750,467950,475252,475718.5,468262,469950,478968,474200,473500,471481.5,469950,469900,459950,463237,473256.5,476250,476250,471513,489950,496950,499900
"Pacific Palisades","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5872500,5622000,5690000,5950000,6072500,6025000,6200000,6150000,5997000,6150000,6395000,6395000,6100000,5995000,6049500,5999000,6597500,5695000,5672000,5250000,4995000,4997499.5,4995000,5422500,5595000,5750000,5750000,6e+06,6375000,5850000,5995000,5850000,6697000,6072500,5712500,5495000
"North Center","Chicago","IL","Chicago-Naperville-Elgin","Cook",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350000,1299000,1310000,1399999,1295000,1350000,1299000,1277450,1227000,1194900,1199900,1239499.5,1289000,1229495,1149999,1132400,1139900,1132400,1132400,1227450,1139900,1082000,969000,874500,899000,9e+05
"Deep Creek North","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394990,390620,393745,416695,411492.5,402400,412400,402400,409695,418180,416695,410147.5,410895,412700,421889,421485,415200,425985,427182,422985,423942.5,427182,428237.5,422200,431490
"Lake Houston","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415950,419950,394950,415744,406925,402450,419000,423270,425000,424350.5,409990,409533,392431.5,401763,397500,399995,398250,422450,411500.5,426220,419425,424900,439990,429900,425000,425000,425000,426270,417872,417990,420490,416917,423945,425000,426270,445950,435000,428353.5,425000,432078.5,429167,417495,427540
"Park Manor","Chicago","IL","Chicago-Naperville-Elgin","Cook",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,134500,125000,105000,112450,125000,112450,129000,137700,151825,169000,147000,145000,145350,140000,130999,140070,135100,140070,130000,125000,130000,130100,130100,145000,144900,144900,144900,144900,134450
"North Stamford","Stamford","CT","Bridgeport-Stamford-Norwalk","Fairfield",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,1112500,1024500,999000,999000,999000,1125000,1100000,984500,970000,1092500,1080000,999000,987000,995000,1017000,1085000,1085000,1175000,1099000,1099000,1175000,1150000,1100000,1112500,1150000,1122500,1122500,1055000,1095000,1060000
"West Garfield Park","Chicago","IL","Chicago-Naperville-Elgin","Cook",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,104450,114500,125000,121000,125000,132000,122000,105000,99950,105000,121900,140000,130000,139900,139900,125000,130000,129000
"Afton Oaks - River Oaks Area","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e+06,3347500,3335000,3297500,3192500,3335000,3300000,3395000,3370000,3382500,3347500,3369000,3485000,3369000,3384500,3379500,3300000,3350000
"Beverly Crest","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6297500,6195000,5485000,5160000,5500000,5222500,5095000,5285000,4997499.5,5350000,5350000,5745000,6091944,5872500,6188888,5750000,5980000,5999999,6097500,6341500
"Creekside Park","The Woodlands","TX","Houston-The Woodlands-Sugar Land","Montgomery",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998849.5,889000,904000,889000,839000,827304,850000,950000,950000,950000,1050000,925000,875000,859950,825000,820000,840000,799750,802538,789000,792000,779000,820000,824950,807500,825000,767000,775000,775000,735000,732495
"Riverside","Greenwich","CT","Bridgeport-Stamford-Norwalk","Fairfield",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3595000,3495000,3380000,3245000,3322500,3250000,3180000,3195000,3260000,3222500,3195000,3295000,3624999.5,3499999,3095000,2995000,2995000,2995000,2995000,2995000,2995000,3195000,3195000,3145000,3195000,3100000,3100000,3145000,2980000,2995000,2995000,2995000,2995000,2945000
"Deep Creek West-Dismal Swamp","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399990,408294.5,406004.5,395000,399945,399900,399900,399900,407000,399900,412990,407000,412990,409995,400986,404990,398486,407495,397100
"Godley Station","Savannah","GA","Savannah","Chatham",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290531.5,284844.5,285000,287700,288000,287000,284400,282400,287850,293900,293900,293900,293400,293900,294307,297900,295950,296600,295900,293900,293650
"Big Sky","Gallatin Gateway","MT","Bozeman","Gallatin",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000,3500000,3500000,3200000,3074500,3175000,3175000,3100000,2995000,2750000,2750000,2950000,2995000,2950000
