"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899000,899000,929000,922000,899000,899000,899000,899000,925000,944000,939000,985000,1100000,1087000,1250000,1290000,1220000,1250000,1192500,995000,1099000,1195000,1295000,1220000,1222500,1295000,1249000,1172500
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",2,599000,585000,580000,579000,599000,599000,599000,625000,599000,599000,599000,590000,599000,565000,599000,599000,599000,599000,599000,599500,599000,599000,622500,599000,615000,599000,599000,599000,599000,599000,599000,599000,610000,599000,610000,625000,625000,625000,625000,630000,625000,559000,550000,642000,615000,6e+05,607500,607500,625000,625000,639250,612500,599499.5,650000,685000,670000,695000,695000,697000,712500,699000,699000,730000,750000,765000,765000,767000,769000,769000,774500,775000,792250,817500,825000,825000,875000,795000,850000,895499,895998,850000,849000,849500,905750,925000,897000,895000,850000,849000,850000,849000,845000,842000,849000,8e+05,799900,797000,799000,825000,899000,894500,905000,925000,997000,995000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,110000,111000,110450,110500,109800,115000,119000,118000,118000,119388.5,119990,125000
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623000,623000,635000,635000,648950,659340,674545,689850,695235,725000,720050,710000,697150,695000,695000,695000
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797000,835000,869000,869000,879000,860000,860000,860000,9e+05,915000,9e+05,880000,880000,897000,897000,891220,899000,890000,880000,9e+05,9e+05,9e+05,905850,902925,899000,899999.5,892500,9e+05,9e+05,908250,897750,899000,908250,908250,908250,908250,893750,930600,903625,908250,927800,903625,9e+05,899000,924000,855000,799000,835000,849000,795025,799000
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,147000,152250,152494.5,155000,155000,155000,151900,154999,158500,156750,159750,164500,174999.5
"Lower East Side","New York","NY","New York-Newark-Jersey City","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1355000,1365000,1380000,1384000,1397500,1384000,1390000,1415000,1412000,1415000,1402000,1409000,1395000
"East Village","New York","NY","New York-Newark-Jersey City","New York",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042000,1095000,1095000,1095000,1050000,1125000,1125000,1126875,1150000,1188000,1181500,1188000,1188000
"Jackson Heights","New York","NY","New York-Newark-Jersey City","Queens",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340000,340000,339888,338500,325000,325000,320000,320000,309500,315000,315000,322000,329000,329000,362000,380000,387900,389000,378000,369250,372250
"Greater Uptown","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,189900,192400,189900,185000,208000,219000,211950,202450,216950,205000,207000,209000,199000,186000,189900,195000,189450,179000,170950,169450,169000,175000,179495,174950,172500,168000,174450,166000,179000,179000,172450,175000,178750,189900,177900,198275,195000,188250,188000,188000,182500
