"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1595,1450,1450,1385,1600,1600,1547.5,1500,1549,1550,1600,1732.5,1892.5,1672.5,1785,1495,1550,1787,1872.5,1550,1750,1795,1695,1747.5,1961,1997.5,2148,2068,1995,1850,1864.5,1799,1797,1895,1900,1995,1900,1975,1995,1950,1995,1900,1895
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949,949,909.5,909.5,949,930,930,930,930,930,930,930,930,930
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,,1095,1100,1100,1150,1150,1150,1150,1100,1100,1100,1100,1100,1100,1095,1095,1100,1125,1100,1097,1075,1047.5,1050,1050,1050,1050,1095,1100,1100,1100,1100,1100,1125,1125,1100,1100,1100,1100,1100,1100,1137,1100,1150,1125,1125,1100,1100,1100,1141,1100,1150,1170,1195,1195,1200,1200,1195,1150,1200,1200,1200,1200,1247.5,1217,1230,1250,1250,1250,1200,1200,1275,1195,1250,1250,1262.5,1295,1300,1300,1312.5,1300,1300,1300,1300,1300,1300,1310,1375,1369.5,1375,1395,1400,1395,1400
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,5037.5,5516,5095,5295,5500,5800,5950,6000,5997.5,5497.5,5475,5700,5700,5560,5700,6067,6000,6124.5,6000,5900,6000,5800,5500,5500,5296,4995,5500,5500,5200,5495,5497,5500,5700,5695,5295.5,5600,6350,6500,6547.5,6500,6497.5,6675,6500,6499.5,6500,6772.5,6500,6472.5,6500,6500,6400,6400,6295,6372.5,6197.5,6300,6275,6100,6250,6000,5499.5,5298.5,6200,5995,5842,5995,5900,6000,6050,6000,5700,5600,5995,5800,5800,5990,6200,6030,6260,6200,6000,6000,6000,5990,5500,5900,6350
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2497.5,2480,2395,2395,2395,2350,2225,2300,2195,2195,2400,2500,2500,2600,2500,2525,2612.5,2700,2665,2695
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",6,,,,,4500,4350,4295,4300,4397.5,4232.5,4495,4300,4400,4495,4495,4495,4200,4400,4495,4300,4495,4595,4595,4600,4650,4650,4695,4595,4500,4400,4495,4500,4895,4895,4795,4900,5000,5107.5,5300,5200,5000,5595,5795,6000,6000,6000,6272.5,6495,5547.5,5500,5980,5965,5450,5500,5597.5,5500,5197.5,5350,5500,5895,5995,5995,5995,6000,6195,5500,5100,4995,5064.5,5797.5,5500,5600,5500,5952.5,5833,5535,5600,5552,5505,5500,6150,5900,5500,5062,5454,5435.5,5195,5100,4985,4990,4925,5108,5400
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",7,900,900,950,900,925,950,925,900,925,925,900,895,900,900,895,900,925,900,900,900,900,900,900,895,895,897,900,900,900,900,900,900,899,895,899,899,899,900,900,905,950,925,925,925,950,940,950,940,932.5,950,950,950,950,950,950,950,950,975,975,950,950,985,995,975,975,1000,1025,975,999,975,1000,995,995,999,1050,1050,1050,1100,1072.5,1065,1097,1095,1075,1075,1075,1050,1095,1100,1125,1130,1172.5,1100,1125
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",8,1195,1200,1225,1250,1207.5,1200,1200,1195,1175,1155,1177.5,1150,1135,1100,1100,1100,1125,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1150,1125,1140,1125,1150,1150,1150,1150,1175,1190,1188,1182.5,1180,1175,1195,1200,1195,1195,1200,1199,1200,1200,1200,1225,1200,1212.5,1235,1250,1200,1249,1250,1280.5,1250,1227,1250,1245,1250,1295,1250,1250,1275,1250,1250,1250,1299,1295,1300,1300,1300,1300,1325,1350,1350,1350,1350,1350,1350,1350,1395,1450,1450,1400,1400,1400,1455
"East New York","New York","NY","New York-Newark-Jersey City","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,1800,1800,1800,1800,1800,1900,1900,1900,1900,1900,1999,2000,2000,1900,2000,2000,2000,2000,1925,2000,2000,2000,2000,2000,2000,2200,2100,2000,2150,2100,2200,2150,2200,2200,2200,2190,2200,2200,2200,2200,2200,2250,2300,2300,2200,2200,2262.5,2250
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1272.5,1335,1339,1350,1405,1398.5,1351,1392,1372.5,1343,1339,1300,1372,1479,1474,1500,1502,1545,1545,1538.5
