"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Sand Lake","Anchorage","AK","Anchorage","Anchorage",247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3180313064419,1.35601604278075,1.29774305555556,1.25212852693906,1.27272727272727,1.32777777777778,1.31818181818182,1.25,1.25925925925926,1.29935064935065,1.30208333333333,1.29518072289157,1.27849518354595,1.25748502994012,1.26530612244898,1.27638888888889,1.27777777777778
"West Central","Pasadena","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43252504894126,2.5355504587156,2.9845313921747,3.01963260671707,2.85563617613155,2.8773871777608,2.77673935617861,2.68197088465845,2.67065317387305,2.53323743510143,2.57039091481767,2.53594327320148,2.64367816091954,2.72382671480144,2.84777227722772,3.25151584351186,3.15036496350365,3.10350957524174,3.17575361362175,2.99793149238993,3.08783304762181
"Central City East","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51007252215955,2.51432328267401,2.51937984496124,2.47465437788018,2.48732718894009,2.54129353233831,2.57637957798399,2.73512476007678,2.68714011516315,2.60028517110266,2.60628571247309,2.59410646387833,2.59410646387833,2.72656368580825,2.58231630121031,2.62024732996065,2.75911708253359,2.82240047363948
"Fern Creek","Louisville","KY","Louisville/Jefferson County","Jefferson",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.832281519328486,0.803932892346712,0.780486110698829,0.820111731843575,0.814928425357873,0.79959100204499,0.883426334124611,0.865828611708916,0.871413390010627,0.889679715302491,0.857873210633947,0.89859079781558,0.913483146067416,0.882914572864322,0.869032191355897,0.872271807610144,0.87593653709568
"North Center","Chicago","IL","Chicago-Naperville-Elgin","Cook",251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64285714285714,1.76190476190476,1.76330532212885,1.67333333333333,1.59787234042553,1.59545454545455,1.60869565217391,1.55,1.5,1.45714285714286,1.45769230769231,1.54912478825522,1.57670454545455,1.63602941176471,1.625,1.60208333333333,1.58333333333333,1.63961038961039,1.62134502923977,1.63157894736842,1.59411764705882
"Streeterville","Chicago","IL","Chicago-Naperville-Elgin","Cook",252,,,,,1.85004436557232,1.85930628365499,1.96236559139785,1.94623655913978,1.99743150684932,2.05633116883117,2.03981968444778,2.04469245091954,2.0605980861244,2.12671232876712,2.14606741573034,2.12585616438356,2.11057692307692,2.18622848200313,2.22043010752688,2.30114566284779,2.34646876874517,2.24576271186441,2.17373572593801,2.28247311827957,2.44711538461538,2.2741935483871,2.28146297137665,2.2741935483871,2.2887323943662,2.33568075117371,2.28354987065249,2.42251223491028,2.43269230769231,2.49102564102564,2.45439330543933,2.44365572315883,2.40323886639676,2.37789473684211,2.40109311740891,2.39368421052632,2.40054129986889,2.42011354420114,2.48455428067079,2.54303599374022,2.51785714285714,2.63870133819951,2.73076923076923,2.59732360097324,2.68889902676399,2.61513074166734,2.47596153846154,2.46593868925073,2.48496737887586,2.65038051125168,2.65070380955532,2.55555555555556,2.56851549755302,2.58128372443217,2.61667963657975,2.57692307692308,2.66101694915254,2.74193548387097,2.85651023694502,2.51923076923077,2.46428571428571,2.51844660194175,2.60830640607353,2.61363636363636,2.61057692307692,2.69295417680454,2.77248920086393,2.635,2.64615568408391,2.59529602595296,2.59456780637726,2.47145187601958,2.59531970291798,2.63401017214397,2.66101694915254,2.70842105263158,2.73803730738037,2.73978363527089,2.75066548358474,2.77753886713036,2.78714000515692,2.70240213291037,2.6251012145749,2.71578212290503,2.66101694915254,2.63479200652529,2.66956103000811,2.73076923076923,2.76318374003,2.77283849918434,2.83326585695007,2.8125,2.7710843373494
"Pacific Heights","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14634146341463,3.88428571428571,3.95488149597739,4.17839937839938,4.1875,4.0495867768595,4.06917599186165,4.01790591905643,3.94420600858369,3.93181818181818,4.15763673890609,3.86363636363636,3.8390092879257,4.26315789473684,4.52045454545455,4.09090909090909,4,4.25736842105263,4.25,4.2725
"Tribeca","New York","NY","New York-Newark-Jersey City","New York",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05172413793103,5.30405405405405,5.34328385762812,5.196,5.29952702702703,5.295,5.30827702702703,5.6755,5.595,5.66371428571429,5.39076576576577,5.44405614373507,5.4429276793494,5.29002702702703,5.36,5.29002702702703,5.30405405405405,5.30405405405405,5.1498127340824,5.1498127340824,5.11838462791076,5.30577702702703,5.12871937143946,5.35714285714286,5.07560096153846,5.262375,5.16282764098491,5.27214634146342,5.276,5.34883720930233,5.075,5.84900117508813,5.85086916742909,6.17807956623746,6.0490045941807,5.84415584415584,5.66463536732248,5.45680238331678,5.45340119165839,5.36640119165839,5.17970401691332,5.14469453376206,5.19398831548199,5.30975572519084,5.21616954474097,5.17234726688103,5.29348668746395,5.5,5.47840119165839,5.30466666666667,5.17790103366872,5.07560096153846
"South of Market","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco",255,,,,,,,,,,,,,,,,,,,,,,3.56595744680851,3.51318226120858,3.49682107175295,3.58461538461538,3.61552511415525,3.63333333333333,3.6039886039886,3.56502655347926,3.66612903225806,3.74176821363754,4.019274522109,3.9031339031339,4.15842326139089,3.90328617837871,3.84892086330935,3.72413793103448,3.96039603960396,3.90212765957447,3.77536559522382,3.84547848990342,3.88414055080722,3.88245770258237,3.98486197684773,3.91829155060353,3.96610169491525,4.02932330827068,4.03110014767454,4.14757004256454,4.2542101042502,4.38871595330739,4.16215882788807,4.28507194244604,4.50144297409686,4.38441098317095,4.38441098317095,4.55413442146989,4.74015696533682,4.7063829787234,4.78163969538315,4.75564301552106,4.45816093289943,4.37237394957983,4.3453152365104,4.55741279069767,4.63536114693152,4.69635627530364,4.5045045045045,4.45187165775401,4.58840037418148,4.39112903225806,4.83156779661017,4.28118393234672,4.32882247333404,4.45967177154234,4.026133060138,4.28184281842818,4.51820232160038,4.36744186046512,4.88269742937747,5.20833333333333,4.96277915632754,4.81757588014224,4.83079122974261,4.80883515094041,4.79279047792716,4.87927565392354,4.66247942480048,4.65870587267109,4.60750853242321,4.65719442202493,4.63694159627806,4.82262515726165,4.77976955278319,4.72727272727273,4.89750957854406,4.84848484848485
"McGinley Square","Jersey City","NJ","New York-Newark-Jersey City","Hudson",256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70357142857143,1.84201388888889,1.88771645021645,1.93333333333333,1.96354166666667,1.99375,1.94761904761905,1.91666666666667,1.92261904761905,2.01388888888889,2,1.94167436703012,1.84615384615385,1.84268426842684,1.86111111111111,2.0625,1.86875
"Freeport-Hackberry","Irving","TX","Dallas-Fort Worth-Arlington","Dallas",257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32166471295518,1.31298781269243,1.42100371747212,1.37704918032787,1.42935404169004,1.46107266435986,1.46596742516592,1.43915343915344,1.43548387096774,1.46217712177122,1.40921409214092,1.42828136083714,1.41186586414445,1.36440677966102,1.39556660020976,1.3587907716786,1.35761320762148,1.39552880481513,1.43336199484093,1.40986394557823,1.40760704607046,1.41952054794521,1.40283748925193
"Greenbrier West","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00279106858054,1.01470588235294,1.00737211008601,1.05215004574565,1.03550295857988,1.03668261562998,1.05366774541532,1.06921487603306,1.04880136986301,1.04030305179541,1.04880136986301,1.04880136986301,1.08203125,1.06921487603306,1.08520900321543,1.08520900321543,1.08520900321543,1.07085004156682,1.09848484848485,1.10262934690416,1.11634211753731,1.07065217391304
"Stapleton","Denver","CO","Denver-Aurora-Lakewood","Denver",259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77872340425532,1.77009345794393,1.79811320754717,1.79903846153846,1.77215189873418,1.92307692307692,1.91983122362869,1.91983122362869,1.9145059375794,1.92307692307692,1.90097259062776,1.93670886075949,1.928,1.928,1.94076038903625,1.94076038903625,1.94076038903625,1.94049803963597,1.946082401072,1.94698354661792
