"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",0,1967,0.00101781170483461,0.00254841997961264,-0.0209059233449477,46123
2018-09-30,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",1,1148,0.000871839581517001,0.00437445319335083,0.0407978241160471,44419
2018-09-30,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",2,1349,0,0.000741839762611276,0.0120030007501875,39906
2018-09-30,"Upper West Side","NY","New York-Newark-Jersey City","New York","New York",3,3818,0.00157397691500525,0.001311303435615,-0.0558852621167161,3346
2018-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,2493,0.00443190975020145,0.0105391163356303,0.0187985288107887,23844
2018-09-30,"Upper East Side","NY","New York-Newark-Jersey City","New York","New York",5,3836,0.00235171152338646,0.00735294117647059,-0.00130174433741213,4239
2018-09-30,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",6,1199,0,0.000834724540901503,0.0169635284139101,36086
2018-09-30,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",7,1402,-0.000712758374910905,-0.000712758374910905,0.0122743682310469,42325
2018-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",8,2395,0.0071488645920942,0.017849553761156,0.00419287211740042,15064
2018-09-30,"East New York","NY","New York-Newark-Jersey City","Kings","New York",9,2193,-0.000455788514129444,-0.000911161731207289,-0.0244661921708185,4623
2018-09-30,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",10,1739,-0.000574712643678161,0.00404157043879908,-0.0051487414187643,49210
2018-09-30,"Washington Heights","NY","New York-Newark-Jersey City","New York","New York",11,2738,-0.000365096750638919,-0.00436363636363636,-0.0693405846363018,778
2018-09-30,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",12,1366,-0.00146198830409357,-0.00582241630276565,0,47797
2018-09-30,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",13,1269,0.000788643533123028,0,-0.0155159038013964,38791
2018-09-30,"Astoria","NY","New York-Newark-Jersey City","Queens","New York",14,2299,-0.000869187309865276,-0.00691144708423326,-0.0376726663876099,2770
2018-09-30,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",15,2516,0.000795544948289578,0.00239043824701195,-0.0106173810460086,22466
2018-09-30,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings","New York",16,2348,-0.0012760527435134,-0.00970054829185998,-0.0734017363851618,2011
2018-09-30,"Williamsburg","NY","New York-Newark-Jersey City","Kings","New York",17,2697,-0.000741015190811412,-0.00589753040914117,-0.108724388631857,1024
2018-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,3200,0.0050251256281407,0.00723953415171546,-0.0624084383240551,3280
2018-09-30,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",19,1886,0.00479488545551412,0.0216684723726977,0.0391184573002755,28134
2018-09-30,"East Side","TX","El Paso","El Paso","El Paso",20,999,0,-0.001998001998002,-0.0394230769230769,36828
2018-09-30,"Flatbush","NY","New York-Newark-Jersey City","Kings","New York",21,2313,-0.00258732212160414,-0.0115384615384615,-0.0792197452229299,2579
2018-09-30,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",22,1221,-0.000818330605564648,-0.000818330605564648,0.0251889168765743,29465
