RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
236102,Oak Cliff,Texas,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350300,348600,346600,342200,356500,373300,384900,371200,374900,384700,383700,382700,367500,347200,347200,355300,376500,363800,361300,373200,400200,393100,341200,314400,319500,371800,364900,364200,367700,380900,391100,388300,399600,388e3,361500,347600,349e3,380600,394700,396100,419100,
275695,The Colony,California,194,,,,,,,,,,,,,,,,,,,,,,,,321e3,304600,293100,294500,310200,289200,297400,305e3,323100,308e3,302900,304900,328300,317900,315500,321300,334200,328300,307300,290800,300700,309300,297200,298600,301100,302400,297e3,279e3,283e3,283300,303800,320200,333e3,334600,357100,351800,362500,35e4,359e3,363e3,422e3,407e3,414500,375600,404400,404900,416400,457100,460400,458300,423300,420400,412100,416400,419100,420500,420300,441700,446400,465200,438400,430200,396200,411e3,424e3,437100,441300,442900,443500,429800,442700,445100,461300,477400,489100,489500,476900,483800,465500,479700,479600,509300,488200,498200,503e3,533100,546e3,549e3,555500,513100,518100,502600,554200,541300,602100,587200,588100,543e3,524900,544800,528100,541800,542400,546e3
208850,Bustleton,Pennsylvania,195,221600,209100,215300,216600,218400,220600,209100,218600,216500,219800,214300,216600,218400,218200,210400,213700,207400,216e3,217e3,223e3,214800,211900,216900,214e3,210900,198400,202700,205800,217700,202600,197800,189200,194700,204700,206100,215100,202700,193800,189700,203500,201500,193800,181500,195200,196500,187100,178700,175500,184100,191600,206500,201100,188500,176200,176100,176500,178e3,183800,183900,185300,179300,176700,178400,193e3,203200,205400,194700,188e3,188200,189800,195200,190700,192800,187600,19e4,182e3,178800,189100,196300,194500,179700,181e3,178900,186e3,185300,194700,190900,189300,191900,191600,188900,191800,199800,205600,205600,196700,198700,204400,208900,209e3,198700,202700,210200,226300,218200,212100,201700,212900,216300,219400,219700,225500,228900,229900,222300,219800,216400,220400,228200,222300,204700,2e5,209700,228800,230900,240500,
117156,Pacific Beach,California,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540800,490800,468500,477200,422300,373400,348300,379500,396600,395100,394700,398200,426100,406e3,414600,436300,452900,431e3,379400,415400,405100,377300,398500,458500,476400,472700,484400,553500,498300,484500,489400,548e3,543500,552e3,527800,546600,582800,591900,615400,593100,607700,613100,598600,585e3,566100,597200,634800,708600,678400,652500,569900,585100,595900,593400,604400,584700,587400,587800,582200,581100,544500,562200,505e3,518900,509300,556200,565800,642600,659500,636e3,583200,596700,639100,665400,660200,656500,678100,648700,658400,652600,727300,74e4,765500,762e3,754100,733700,715600,704500,624300,639300,688800,785800,796500,734300,819900,829900,
273587,Eastside-ENACT,Washington,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91200,91500,100500,95200,94500,100300,104e3,107300,1e5,104200,112100,111300,120400,111500,122400,104800,116e3,128500,141200,139600,126600,127300,127500,128300,127400,128500,129700,133500,133400,134600,135e3,131e3,136600,137e3,148700,147700,152700,151700,148700,143600,143e3,143800,144300,149500,148200,151e3,147800,155200,156e3,160700,169900,176700,179200,179e3,181900,178800,181300,180900,190300,192600,196900,198400,206300,205900,210300,207700,210500,211400,211e3,216700,219600,225400,238900,244900,250400,244600,248800,246400,243700,246800,245700,248200,241600
762605,Norwood Cherrylee,California,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448500,450400,45e4,442900,427e3,406300,423900,443100,472e3,452100,485100,484300,489100,455200,458700,466100,460100,472100,482700,543700,530200,534100,557500,566500,586700,537600,553900,535600,507400
114808,Eagle Rock,California,199,577e3,510400,432700,459600,464600,501500,485e3,455400,459200,454e3,446600,402600,388700,402500,447200,461700,454800,429300,420100,436200,422100,438500,430700,446200,445400,414600,437500,417100,444300,421400,428800,443200,462700,474200,444800,433600,421100,445300,449500,443400,433e3,412600,414700,395700,425900,448300,477400,447900,441800,421400,427300,456300,469800,488800,465200,475900,507800,533300,536700,523300,487700,493500,493400,522e3,538100,554900,553700,580600,587300,576200,557600,566e3,599300,627300,649600,646200,654400,638400,653700,633100,643100,641500,681500,665500,668300,640600,647400,647700,646100,665300,700400,702800,698200,688400,691e3,704e3,725100,737700,763900,762e3,756800,724700,708600,718400,736600,808200,825e3,843100,804300,801900,785700,793200,805600,841600,819700,805e3,783600,813200,839300,842500,846e3,817300,847900,841700,896500,866500,977800
240748,Sugar House,Utah,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289800,282e3,292e3,301e3,305800,306800,299e3,308300,320200,328300,316100,31e4,314100,316800,311400,307200,309700,310900,316600,313100,318200,297100,300200,294400,323500,340300,343200,331700,330100,354700,353e3,355100,330600,343100,334100,349800,342200,342400,356400,366600,377300,358400,373800,390900,393300,397900,379500,403100,403500,416900,417900,405400,
274990,Payne Phalen,Minnesota,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93900,95e3,105e3,109600,116400,115800,115200,105900,11e4,111600,115100,116600,114300,119700,125500,127600,125e3,125300,126100,138600,138900,142500,139500,136900,134200,132600,133900,132600,130400,126800,115800,116800,122200,132500,120100,122600,134700,150100,143100,141600,144200,156500,156400,156700,146e3,163900,167300,173300,157600,155300,159300,158700,157300,156900,158300,164900,170800,179800,188100,185400,178700,170500,170300,168700,171300
275429,South End,Massachusetts,202,543900,559400,583200,553100,531500,506100,526900,532e3,512700,492800,449500,456100,490900,535700,529500,515900,514e3,519900,56e4,579300,584e3,540400,516100,551e3,574e3,616100,584300,569300,527300,547100,562e3,602500,582900,563400,494100,522600,548200,608200,588300,576500,559800,562700,604400,605700,628e3,572700,539300,537400,573100,657400,642e3,628200,598900,596300,614200,604500,640500,641600,658800,653100,640600,668700,670400,675800,611600,610500,627400,673e3,755800,744900,755600,650200,701400,681400,72e4,676200,689100,689200,764200,775500,797600,686500,634200,645e3,664200,732100,736e3,759e3,776100,780600,799500,779500,782600,806300,756500,759e3,817400,879e3,878300,823100,823200,822300,807600,823600,814200,811400,797300,810600,842200,880800,838300,844500,842700,935700,956200,960700,929400,892400,968900,939500,1029e3,987800,1060500,1026600,1031800,1043600,
