"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Ridgewood","New York","NY","New York-Newark-Jersey City","Queens",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3200,3200,3300,3375,3400,3395,3385,3375,3499,3399,3499,3400,3500,3560.5,3550,3550,3595,3499,3400,3400,3500,3600,3450,3600,3200,3375,3350,3300,3400,3400,3500,3595,3500,3399,3399,3400,3450,3302,3302,3372.5,3400,3400,3400,3483,3400
"East Village","New York","NY","New York-Newark-Jersey City","New York",20,,,,,,4600,4887.5,4995,4800,4795,4800,4795,5000,5200,5000,4847.5,5000,5125,5200,5400,5372.5,5250,5225,5100,5195,5195,5100,5195,5200,5100,5212.5,5200,5200,5100,5195,5100,5200,5280,5300,5397.5,5500,5600,5900,5739,5739,5739,5700,5739,5739,5600,5600,5800,5760,5600,5747.5,6000,6000,6000,5600,5400,5500,5447.5,5497.5,5600,5800,5777.5,5800,5800,5600,5550,5300,5400,5800,5834,5997.5,5995,6000,6195,6197.5,6195,6000,6000,5800,5680,5800,5897.5,6195,6200,6195,5999.5,6095,5900,5691
"South Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2449.5,2500,2800,2800,2700,2700,2650,2500,2500,2600,2600,2600,2700,2700,2700,2700,2700,2700,2700,2700
"Princess Anne","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.5,1975,1950,1950,2100,2000,1997.5,2000,1995,1950,1950,1972.5,2050,1995,2100,2195,2125,2100,1975,2000
"Kingwood","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1750,1775,1847.5,1850,1850,1925,1995,1999,1999.5,1925,2145,1872.5,1895,1975,2000,2000,1995,1900,1975,1950
"Gramercy","New York","NY","New York-Newark-Jersey City","New York",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6350,6350,6400,6025,6495,6500,6500,6800,6495,6691,6500,6495,6506,6500,6506,6797.5,6800,6500,6390,6450,6000
"Roxbury","Boston","MA","Boston-Cambridge-Newton","Suffolk",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3300,3250,3000,2837.5,2900,2800,2800,2600,3000,3000,3200,3200,3200,3200,3100,2900,2800,2800,2800
"Centennial Hills","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.5,1425,1450,1475,1450,1497.5,1500,1495,1499,1450,1450,1475,1497.5,1450,1500,1600,1600,1555,1595,1525,1624.5
"Lone Mountain","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1495,1495,1500,1495,1503,1612.5,1500,1495,1590,1587.5,1547.5,1500,1500,1550,1650,1650,1637.5,1585,1597,1595
"Lake View","Chicago","IL","Chicago-Naperville-Elgin","Cook",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,2995,3200,3300,3450,3500,3300,3175,3222.5,2995,2995,2995,3197.5,3200,3443.5,3425,3500,3600,3500,3200,3200
