"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329000,329900,339000,343750,339000,335000,327000,335000,321000,325000,330000,339000,349000,355000,349000,350000,350000,327000,339000
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,105450,102250,99900,92000,91000,89900,91000,89900,88900,84900,83000,77990,79900,82000,79900,75000,72900,70000,64950,70000,69900,70000,68950,69949.5,69900,69000,69500,65950,70000,75000,77800,70744.5,74999,74900,70000,73750,74945,76000,76000,78900,84700,83549.5,80000,90000,89950,96900,96950,99000,1e+05,1e+05,105000,99900,99900,104000,1e+05,105000,110000,115000,113500,115000,115949.5,119000,119900,119900,125000,129000,138900,135000,133450,130000,135750,130000,129888,139888.5,145000,144900,134950,134350,129900,139000,155000,150000,149945,159450,159900,163000,160000,160000,160000,162500,170000,172000,185000,175000,180000,184995,185000,175000,175000,177000,180000,190000,195500,181700,174950
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,179900,179950,180950,185000,185000,186500,185000,188000,195000,189450,190000,195000,194250,190000,195000,189900,189900,193373,198750,199900,189950,190000,191686.5,189000,189900,190000,192500,191250,194950,190000,198000,199000,199000,2e+05,210000,210000,225000,219900,225000,229900,239900,250000,260000,260000,255000,260500,269000,260450,264900,274950,275000,279000,275000,280000,295900,299900,298000,294900,297000,299000,299900,3e+05,299000,310000,319950,313000,319400,319000,320000,319000,319800,319900,319900,329999,330000,339450,335000,349450,359900,359900,365000,365000,365000,362500,369900,369900,379900,383000,389999,389499.5,399900,405000,405000,405000,429500,439900,449900,440000,449000,460000,469000,470000,465000,460000,468200
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",4,1375750,1295000,1341500,1375000,1375000,1361500,1349000,1333000,1350000,1299000,1341500,1299000,1350000,1250000,1299000,1295000,1350000,1395000,1350000,1300000,1325000,1395000,1449000,1449500,1300000,1349500,1349500,1377500,1325000,1399000,1399000,1399000,1400000,1399000,1425000,1495000,1400000,1400000,1397500,1395000,1375000,1299000,1295000,1375000,1395000,1495000,1695000,1795000,1812500,1795000,1837500,1595000,1535000,1625000,1750000,1745000,1800000,1949500,1895000,1949500,1895000,1895000,1875000,1975000,1895000,1825000,1900000,1895000,2e+06,1995000,1950000,1975000,1999997.5,2042500,1895000,1975000,1950000,1895000,1880000,1897500,1825000,1825000,1895000,1850000,1925000,2037500,1995000,2100000,1985000,1997500,1995000,2100000,2190000,2175000,2195000,2185000,2165000,2185000,2225000,2197500,2205000,2202500,2e+06,1995000,2087500
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",5,74900,75000,80000,80000,77900,77000,75000,75000,74000,70000,70000,69000,69000,65000,65000,66500,65000,64900,62925,64900,64400,64800,60000,60000,60000,64900,65000,65000,67000,69900,68000,69000,72500,72500,74900,74900,77500,79900,82000,84900,86370,89900,88000,94400,92250,94900,95000,94950,91900,94900,95000,95000,99900,99900,98947.5,100212.5,99900,99500,99900,99900,99900,99900,102500,104949.5,109950,112000,110000,110000,110000,110000,110000,110000,118500,125000,127940,123950,118800,123000,127400,125000,125000,129000,125000,125000,129900,132500,144900,148000,149999.5,150000,164900,155000,158000,158500,177000,175000,175000,169995,171950,171500,174900,167500,172000,179900,180000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,145000,150000,150000,145000,148900,150000,156550,153700,155000,150000,149950,155000,155000,161250,155000,153500,150000,152500,155000,159000,149000,150000,144900,150000,150000,155000,159000,159000,169900,164750,159900,160000,160750,170000,188000,188500,188000,185000,190000,194900,189000,199000,210000,217500,224900,221950,224450,229000,229000,229000,229000,239450,242500,245000,245394,250000,257000,249950,259975,265000,262500,265000,269900,253450,257500,259999.5,262500,270000,279000,279950,280000,295000,299000,299000,299000,299000,299000,299000,299000,299000,299450,3e+05,309900,317500,335000,335000,335000,335000,340000,337450,337450,340000,339900,345000,349450,349000,349999.5,359000,350000,359000,365000,367000,386000,399000,395000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",7,130950,124950,119900,118900,117000,118200,115000,114950,115450,116900,116950,117500,108250,114900,110000,109700,104900,109950,104900,109000,103000,103000,104950,103000,103000,104950,102800,1e+05,104950,104900,106000,109450,105000,110000,109900,104900,99900,98450,109900,109900,108500,109900,108000,114900,118500,116950,114900,114900,113450,108450,110000,106950,110000,113750,116000,124500,126750,121250,121500,123000,140000,144950,119900,122450,122500,136650,133500,133000,129450,130000,136900,138450,149450,149000,149700,150000,156000,148200,149950,165000,165000,160000,160000,161500,161450,165000,166750,169900,179950,175000,175000,176500,189000,189000,194000,192500,190000,2e+05,187000,178500,189500,180000,179900,175000,195000
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799000,825000,825000,845770,845770,849000,845770,825000,825000,852000,870000,870000,870000,894000,899000,899000,899000,899000,899000,899000,845000,830000,865000,857500,869000,849500,837000,849000,849000
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000,1395800,1377500,1375000,1380000,1375000,1391600,1380000,1366750,1372500,1391600,1377500,1399500,1400000,1390800,1375000,1370000,1375000,1390625,1391250,1395000,1416250,1422300,1443750,1443750,1447500,1420000,1440000,1395000,1395000,1395000,1395000,1395000,1395000,1375000,1350000,1350000,1327500,1337500,1325000,1331500
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689990,694990,695000,695000,699990,675000,665000,698500,672500,694000,699000,699000,734250,699000,650000,619975,699487.5,699000,7e+05,758000,789000,777000,789000,732000,725000,742000,735000,749000,750000,776950,795000,829900,850000,798444,798000,798000,849000,909000,902500,854500,799000,799000,819500,842000,899000,925750
